MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367353660,2018-01-05T19:22:08,40.69567,-74.12183,9.5,29.0,30,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2018-01-05T19:23:17,40.69817,-74.11983,8.5,29.0,27,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2018-01-05T22:02:20,40.6995,-74.11933,12.0,193.0,200,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2018-01-05T22:03:27,40.69617,-74.1215,12.3,209.0,210,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367353660,2020-01-02T18:12:58,40.695,-74.1225,6.8,26.0,27,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2020-01-02T18:14:38,40.69767,-74.12067,6.0,28.0,31,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2020-01-02T21:18:07,40.69967,-74.11933,11.7,196.0,201,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
367353660,2020-01-02T21:19:18,40.696,-74.12167,12.9,206.0,206,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
538003696,2018-01-06T05:16:11,40.6958,-74.1217,5.8,26.9,25,CHEM NORMA,IMO9486192,V7SO9,80,0,144,23,8.9,,A
538003696,2018-01-06T05:17:22,40.69753,-74.12056,5.7,27.5,26,CHEM NORMA,IMO9486192,V7SO9,80,0,144,23,8.9,,A
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
538003696,2018-01-07T17:23:19,40.69767,-74.12053,5.1,207.3,205,CHEM NORMA,IMO9486192,V7SO9,80,0,144,23,8.9,,A
538003696,2018-01-07T17:24:29,40.69619,-74.12147,5.1,206.1,206,CHEM NORMA,IMO9486192,V7SO9,80,0,144,23,8.9,,A
MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367353660,2018-01-02T18:53:40,40.6955,-74.12183,8.8,28.0,28,RED HOOK,IMO9501916,WDE4476,70,0,107,16,4.9,80,A
