Bridge,Daily Trips,Total Trips
VERAZZANO NARROWS BRIDGE(NY),10.741454864154251,24512.0
GOLDEN GATE BRIDGE(CA),7.367659947414548,16813.0
SAN FRANCISCO OAKLAND BAY BRIDGE(CA),6.599474145486416,15060.0
TALMADGE MEMORIAL BRIDGE(GA),6.578001752848379,15011.0
CRESCENT CITY CONNECTION GREATER NEW ORLEANS BRIDGE(LA),6.085013146362839,13886.0
FRED HARTMAN BRIDGE(TX),5.9872918492550395,13663.0
HUEY P LONG BRIDGE(LA),4.284399649430324,9777.0
HALE BOGGS MEMORIAL BRIDGE(LA),4.053023663453112,9249.0
FRANCIS SCOTT KEY BRIDGE(MD),3.92988606485539,8968.0
CHESAPEAKE BAY BRIDGE(MD),3.923312883435583,8953.0
GULFGATE BRIDGE(TX),3.6086765994741454,8235.0
DELAWARE MEMORIAL BRIDGE(DE),3.5035056967572307,7995.0
RAINBOW BRIDGE(TX),3.359333917616126,7666.0
VETRANS MEMORIAL BRIDGE(TX),3.3584574934268185,7664.0
BAYONNE BRIDGE A(NY_NJ),2.9794040315512706,6799.0
HARBOR BRIDGE,2.647239263803681,6041.0
GRAMERCY BRIDGE(LA),2.642418930762489,6030.0
COMMODORE BARRY BRIDGE(PA_NJ),2.5122699386503067,5733.0
SUNSHINE SKYWAY BRIDGE(FL),1.6419807186678352,3747.0
ASTORIA MEGIER BRIDGE,1.638036809815951,3738.0
LEWIS AND CLARK BRIDGE,1.5284837861524978,3488.0
VINCENT THOMAS BRIDGE(CA),1.4986853637160387,3420.0
DAMES POINT BRIDGE(FL),1.4802804557405784,3378.0
DULUTH LIFT BRIDGE(MN),1.4636283961437335,3340.0
SUNSHINE BRIDGE(LA),1.441279579316389,3289.0
RICHMOND BRIDGE,1.287467134092901,2938.0
W OCEAN BLVD OVER EAST BASIN,1.2861524978089396,2935.0
HAMPTON ROADS BRIDGE (VA),1.2353198948290973,2819.0
TEXAS BELTWAY 8 BRIDGE(TX),1.221735319894829,2788.0
JOHN A BLATNIK BRIDGE(MN_WI),1.1345311130587203,2589.0
Alfred Zampa Memorial Bridge,1.124014022787029,2565.0
INTERSTATE 80 EB over CARQUINEZ STRAIT UP RR,1.123575810692375,2564.0
HORACE WILKINSON BRIDGE(LA) ,1.086765994741455,2480.0
HUEY P LONG OK ALLEN BRIDGE(LA),0.8707274320771253,1987.0
LA0082 over OLD ICC L PRAIRE,0.6744084136722174,1539.0
BANKHEAD TUNNEL,0.6695880806310254,1528.0
OUTERBRIDGE CROSSING,0.5254163014899211,1199.0
BAYONNE BRIDGE B(NY_NJ),0.3851884312007011,879.0
GOTHETHALS BRIDGE,0.3851884312007011,879.0
SH 87 over INTRACOASTAL CANAL,0.33041191936897457,754.0
GEORGE MILLER JR MEMORIAL BRIDGE,0.2287467134092901,522.0
BENICIA MARTINEZ BRIDGE,0.2283085013146363,521.0
LA0001 over PORT ALLEN CANAL,0.20946538124452235,478.0
BRICKELL AVE DRAWBRIDGE(FL),0.15687992988606486,358.0
SOUTH MIAMI AVENUE BRIDGE,0.14899211218229624,340.0
GALVESTON CAUSEWAY,0.14636283961437335,334.0
ROBERT F KENNEDY BRIDGE,0.11744084136722173,268.0
THROGS NECK BRIDGE,0.11744084136722173,268.0
WHITESTONE BRIDGE,0.11744084136722173,268.0
WALT WHITMAN BRIDGE(PA-NJ),0.09728308501314636,222.0
BENJAMIN FRANKLIN BRIDGE,0.08676599474145487,198.0
CALCASIEU HIGH BRIDGE,0.06923751095530237,158.0
SIDNEY SHERMAN BRIDGE,0.0635407537248028,145.0
ST. JOHNS BRIDGE,0.05959684487291849,136.0
RICHARD I. BONG MEMORIAL BRIDGE,0.05740578439964943,131.0
TACONY-PALMYRA BRIDGE,0.04513584574934268,103.0
BETSY ROSS BRIDGE,0.044697633654688866,102.0
REDFISH BAY CAUSEWAY,0.035056967572304996,80.0
MACARTHUR CAUSEWAY(FL),0.03418054338299737,78.0
HAMPTON ROADS BRIDGE TUNNELS,0.022787028921998246,52.0
JFK CAUSEWAY,0.02147239263803681,49.0
GIL HODGES MEMORIAL BRIDGE,0.013584574934268186,31.0
FREEMONT BRIDGE,0.012269938650306749,28.0
GEORGE WASHINGTON BRIDGE,0.011393514460999123,26.0
JAMES RIVER BRIDGE (VA),0.009202453987730062,21.0
ANDREWS AVENUE BRIDGE,0.008764241893076249,20.0
SE 17TH STREET BRIDGE,0.008764241893076249,20.0
SE 3RD AVENUE BRIDGE,0.007887817703768623,18.0
SR-105 OVER CLAPBOARD CREEK A(FL),0.007449605609114811,17.0
NB SR 16 OVER TACOMA NARROWS,0.006573181419807186,15.0
TACOMA NARROWS BRIDGE (WA),0.006573181419807186,15.0
GOVERNOR MARIO M CUOMO BRIDGE,0.006134969325153374,14.0
WILLIAM H MARSHALL BRIDGE,0.0056967572304995615,13.0
LAFAYETTE RIVER BRIDGE,0.0052585451358457495,12.0
CALCASIEU RIVER BRIDGE,0.004820333041191937,11.0
UNIVERSITY BRIDGE,0.004820333041191937,11.0
SR 513 OVER MONTLAKE CUT,0.0043821209465381246,10.0
I-5 OVER LAKE WASH SHIP CANAL,0.003943908851884312,9.0
QUEEN ISABELLA CAUSEWAY,0.003943908851884312,9.0
BALLARD BRIDGE,0.0035056967572304996,8.0
NAVAL ACADEMY BRIDGE,0.0026292725679228747,6.0
CROSS BAY VETRANS MEMORIAL BRIDGE,0.0021910604732690623,5.0
WEST NORFOLK BRIDGE,0.0021910604732690623,5.0
EVERGREEN POINT FLOATING BRIDGE (WA) ,0.0017528483786152498,4.0
GRANBY STREET BRIDGE,0.0017528483786152498,4.0
MACARTHUR CAUSEWAY ICW BRIDGE(FL),0.0013146362839614374,3.0
ACOSTA BRIDGE,0.0008764241893076249,2.0
EAST 11TH STREET OVER HYLEBOS WATERWAY,0.0008764241893076249,2.0
EB I-90 OVER LAKE WASHINGTON,0.0008764241893076249,2.0
FEC STRAUSS TRUNNION BASCULE BRIDGE,0.0008764241893076249,2.0
FULLER WARREN BRIDGE,0.0008764241893076249,2.0
HENRY H BUCKMAN BRIDGE,0.0008764241893076249,2.0
JOHN T ALSOP JR. BRIDGE(FL),0.0008764241893076249,2.0
LESNER BRIDGE,0.0008764241893076249,2.0
MATHEWS BRIDGE MUFFIN(FL),0.0008764241893076249,2.0
RTE 280 NB OFFRAMP over CHINA BASIN BERRY 6 ST,0.0008764241893076249,2.0
RTE 280 NB ON-RAMP over CHINA BASIN BERRY 6 ST,0.0008764241893076249,2.0
SABINE LAKE CAUSEWAY BRIDGE,0.0008764241893076249,2.0
VICTORY BRIDGE,0.0008764241893076249,2.0
WB I-90 over LAKE WASHINGTON,0.0008764241893076249,2.0
WEST SEATTLE BRIDGE,0.0008764241893076249,2.0
AURORA BRIDGE,0.00043821209465381246,1.0
COLUMBIA DRIVE BRIDGE,0.00043821209465381246,1.0
CURTIS CREEK DRAWBRIDGES,0.00043821209465381246,1.0
DELGADO MEMORIAL BRIDGE,0.00043821209465381246,1.0
DIAMOND CAUSEWAY,0.00043821209465381246,1.0
GANDY BRIDGE,0.00043821209465381246,1.0
GIRARD POINT BRIDGE,0.00043821209465381246,1.0
GOV THOMAS JOHNSON BRIDGE,0.00043821209465381246,1.0
HART BRIDGE,0.00043821209465381246,1.0
HWY A1A OVER CLAPBOARD CREEK,0.00043821209465381246,1.0
I-90 over EAST CHANNEL-LK WASH,0.00043821209465381246,1.0
JULIA BUTLER HANSEN BRIDGE,0.00043821209465381246,1.0
OLD YOUNGS BAY BRIDGE,0.00043821209465381246,1.0
PEARL HARBOR MEMORIAL BRIDGE (MD),0.00043821209465381246,1.0
SANDY HOOK BRIDGE,0.00043821209465381246,1.0
SR 104 over HOOD CANAL,0.00043821209465381246,1.0
SR 104 WESTHALF over HOOD CANAL,0.00043821209465381246,1.0
SR-105 OVER CLAPBOARD CREEK B(FL),0.00043821209465381246,1.0
THE BAY BRIDGE,0.00043821209465381246,1.0
THUNDERBOLT BRIDGE,0.00043821209465381246,1.0
VENETIAN CAUSWAY BRIDGE,0.00043821209465381246,1.0
WILLIAM A. BUGGE BRIDGE(WA),0.00043821209465381246,1.0
3RD STREET BRIDGE(CA),0.0,0.0
4TH STREET BRIDGE(CA),0.0,0.0
79th ST WEST DRAWBRIDGE(FL),0.0,0.0
A1A OVER STRANAHAN RIVER,0.0,0.0
ALEXANDER HAMILTON BRIDGE,0.0,0.0
AUTOP. JOSE DE DIEGO OVER SAN JUAN HATO REY,0.0,0.0
BEAR CUT BRIDGE,0.0,0.0
BERKLEY BRIDGE,0.0,0.0
BRICKELL KEY BRIDGE,0.0,0.0
BROAD CAUSEWAY BRIDGE,0.0,0.0
BROADWAY BRIDGE,0.0,0.0
BURNSIDE BRIDGE,0.0,0.0
CAMPOSTELLA BRIDGE (VA),0.0,0.0
CARL D BROREIN BRIDGE,0.0,0.0
CHRISTINA RIVER BRIDGE,0.0,0.0
DELAWARE EXPRESSWAY OVER DARBY CREEK,0.0,0.0
DOYLE E CARLTON DRAWBRIDGE,0.0,0.0
DR MARTIN LUTHER KING JR MEMORIAL BRIDGE,0.0,0.0
DUMBARTON BRIDGE,0.0,0.0
E 11TH ST OVER CITY WATERWAY CS2749,0.0,0.0
E 4TH STREET OVER CHRISTINA RIVER,0.0,0.0
E 79TH DRAWBRIDGE,0.0,0.0
E SUNRISE BOULEVARD,0.0,0.0
ELLIS S VIESER MEMORIAL BRIDGE,0.0,0.0
FIRST AVENUE SOUTH BRIDGE (WA) ,0.0,0.0
FOX ISLAND BRIDGE,0.0,0.0
FRANCIS R BUONO MEMORIAL BRIDGE,0.0,0.0
GEORGE C PLATT MEMORIAL BRIDGE,0.0,0.0
GERRITSEN INLET BRIDGE,0.0,0.0
GILMERTON BRIDGE,0.0,0.0
GLENN L JACKSON MEMORIAL BRIDGE,0.0,0.0
HANOVER STREET BRIDGE,0.0,0.0
HARLEM RIVER SWING BRIDGE,0.0,0.0
Haulover Inlet Bridge,0.0,0.0
HAWTHORNE BRIDGE,0.0,0.0
HENRY HUDSON BRIDGE,0.0,0.0
HIGH STREET BRIDGE,0.0,0.0
HOWARD FRANKLAND BRIDGE,0.0,0.0
HWY 10,0.0,0.0
I-5 (Hwy 1) over Oregon Slough,0.0,0.0
I-95 over SUSQUEHANNA RIVER PA RR,0.0,0.0
IH 10 SLASH US 90 EB over NECHES RIVER,0.0,0.0
IH 10 WB over Neches River,0.0,0.0
ILLINOIS STREET BRIDGE,0.0,0.0
INDUSTRIAL HIGHWAY OVER DARBY CREEK,0.0,0.0
IS 95 SB over MIDDLE BRANCH,0.0,0.0
JOHN F KENNEDY CAUSEWAY,0.0,0.0
JULIA TUTTLE CAUSEWAY,0.0,0.0
KENNEDY BOULEVARD BRIDGE,0.0,0.0
KENT NARROWS BRIDGE,0.0,0.0
LAZARETTE CREEK BRIDGE,0.0,0.0
LEVON HAGOP NISHIKIAN BRIDGE,0.0,0.0
LEWIS AND CLARK RIVER BRIDGE,0.0,0.0
LICATA BRIDGE,0.0,0.0
MACOMBS DAM BRIDGE,0.0,0.0
MADISON AVENUE BRIDGE,0.0,0.0
MANETEE BRIDGE (WA),0.0,0.0
MARQUAM BRIDGE,0.0,0.0
MD 2 over SOUTH RIVER,0.0,0.0
MILLARD E TYDINGS MEMORIAL BRIDGE,0.0,0.0
MILLER SWEENEY BRIDGE,0.0,0.0
MORRISON BRIDGE,0.0,0.0
N OCEAN DR OVER WHISKEY CREEK,0.0,0.0
NEW YOUNGS BAY BRIDGE,0.0,0.0
NUECES BAY CAUSEWAY,0.0,0.0
OLIVER BRIDGE,0.0,0.0
OREGON WASHINGTON BRIDGE,0.0,0.0
PARK STREET BRIDGE,0.0,0.0
PASSYUNK AVENUE BRIDGE,0.0,0.0
PELICAN ISLAND CAUSEWAY,0.0,0.0
PLATT STREET BRIDGE,0.0,0.0
