Bridge,Daily Trips,Total Trips
FRED HARTMAN  (TX),17.15205959684487,39141.0
VERAZZANO NARROWS (NY),16.273006134969325,37135.0
CRESCENT CITY CONNECTION GREATER NEW ORLEANS  (LA),15.121384750219105,34507.0
HUEY P LONG  (LA),12.209027169149868,27861.0
GOLDEN GATE (CA),10.712094653812445,24445.0
HALE BOGGS MEMORIAL  (LA),10.26774758983348,23431.0
SAN FRANCISCO OAKLAND BAY (CA),8.617440841367221,19665.0
TALMADGE MEMORIAL (GA),8.118317265556529,18526.0
TEXAS BELTWAY 8 (TX),8.041191936897459,18350.0
GULFGATE (TX),7.607800175284837,17361.0
DELAWARE MEMORIAL  (DE-NJ),7.147677475898335,16311.0
FRANCIS SCOTT KEY  (MD),6.69193689745837,15271.0
CHESAPEAKE BAY (MD),6.5184049079754605,14875.0
RAINBOW (TX),6.285714285714286,14344.0
VETRANS MEMORIAL (TX),6.284837861524978,14342.0
GRAMERCY  (LA),6.056967572304996,13822.0
COMMODORE BARRY  (PA-NJ),5.213409290096407,11897.0
HARBOR ,5.170026292725679,11798.0
ASTORIA MEGIER ,4.2936021034180545,9798.0
BAYONNE  (NY-NJ),4.242769500438212,9682.0
SUNSHINE SKYWAY (FL),4.047326906222612,9236.0
LEWIS AND CLARK ,3.9956178790534618,9118.0
SUNSHINE  (LA),3.4285714285714284,7824.0
RICHMOND ,3.3816827344434706,7717.0
ALFRED ZAMPA MEMORIAL (CA),2.8514460999123576,6507.0
INTERSTATE 80 EB over CARQUINEZ STRAIT UP RR,2.85056967572305,6505.0
VINCENT THOMAS (CA),2.839176161262051,6479.0
DAMES POINT (FL),2.7624890446976336,6304.0
W OCEAN BLVD OVER EAST BASIN,1.9500438212094653,4450.0
DULUTH LIFT (MN),1.9224364592462753,4387.0
HORACE WILKINSON (LA),1.8312883435582823,4179.0
HAMPTON ROADS  (VA),1.730937773882559,3950.0
LA0082 over OLD ICC L  PRAIRE(LA),1.7212971078001753,3928.0
BANKHEAD TUNNEL,1.7002629272567922,3880.0
OUTER CROSSING,1.4964943032427696,3415.0
JOHN A BLATNIK (MN-WI),1.436897458369851,3279.0
SH 87 over INTRACOASTAL CANAL,1.2541630148992111,2862.0
SIDNEY SHERMAN  (TX),1.1297107800175286,2578.0
GEORGE MILLER JR MEMORIAL ,1.1257668711656441,2569.0
BENICIA MARTINEZ ,1.1253286590709903,2568.0
GOETHALS  (NY),1.1244522348816828,2566.0
WALT WHITMAN (PA-NJ),0.9281332164767747,2118.0
HUEY P LONG OK ALLEN  (LA),0.8860648553900088,2022.0
CALCASIEU HIGH ,0.717353198948291,1637.0
BENJAMIN FRANKLIN  (PA-NJ),0.6695880806310254,1528.0
ST. JOHNS ,0.4084136722173532,932.0
GALVESTON CAUSEWAY (TX),0.39614373356704646,904.0
LA0001 over PORT ALLEN CANAL (LA),0.3282208588957055,749.0
TACONY-PALMYRA ,0.2957931638913234,675.0
BETSY ROSS  (PA),0.29491673970201576,673.0
GEORGE WASHINGTON ,0.21603856266432953,493.0
GOVERNOR MARIO M CUOMO ,0.2107800175284838,481.0
BRICKELL AVE DRAW(FL),0.15687992988606486,358.0
SOUTH MIAMI AVENUE ,0.14899211218229624,340.0
JFK CAUSEWAY,0.147239263803681,336.0
ROBERT F KENNEDY ,0.13540753724802804,309.0
THROGS NECK ,0.13321647677475898,304.0
WHITESTONE ,0.13321647677475898,304.0
RICHARD I. BONG MEMORIAL  (MN-WI),0.06617002629272568,151.0
FREEMONT ,0.06529360210341806,149.0
QUEEN ISABELLA CAUSEWAY,0.05346187554776512,122.0
REDFISH BAY CAUSEWAY,0.05346187554776512,122.0
MACARTHUR CAUSEWAY(FL),0.034618755477651184,79.0
HAMPTON ROADS  TUNNELS (VA),0.03242769500438212,74.0
NB SR 16 OVER TACOMA NARROWS,0.03242769500438212,74.0
TACOMA NARROWS  (WA),0.03242769500438212,74.0
GIL HODGES MEMORIAL ,0.015775635407537247,36.0
CALCASIEU RIVER ,0.014022787028921999,32.0
JAMES RIVER  (VA),0.013146362839614373,30.0
SR-105 OVER CLAPBOARD CREEK A(FL),0.011831726555652936,27.0
ANDREWS AVENUE ,0.008764241893076249,20.0
GLENN L JACKSON MEMORIAL ,0.008764241893076249,20.0
OREGON WASHINGTON ,0.008764241893076249,20.0
SE 17TH STREET ,0.008764241893076249,20.0
SE 3RD AVENUE ,0.007887817703768623,18.0
EAST 11TH STREET OVER HYLEBOS WATERWAY,0.006134969325153374,14.0
LAFAYETTE RIVER  (VA),0.006134969325153374,14.0
WILLIAM H MARSHALL ,0.0056967572304995615,13.0
UNIVERSITY  (WA),0.004820333041191937,11.0
SR 513 OVER MONTLAKE CUT,0.0043821209465381246,10.0
BALLARD  (WA),0.003943908851884312,9.0
CROSS BAY VETRANS MEMORIAL ,0.003943908851884312,9.0
I-5 OVER LAKE WASH SHIP CANAL (WA),0.003943908851884312,9.0
MATHEWS  MUFFIN(FL),0.003067484662576687,7.0
NAVAL ACADEMY  (MD),0.003067484662576687,7.0
SABINE LAKE CAUSEWAY ,0.003067484662576687,7.0
GRANBY STREET  (VA),0.0021910604732690623,5.0
WEST NORFOLK  (VA),0.0021910604732690623,5.0
EVERGREEN POINT FLOATING  (WA) ,0.0017528483786152498,4.0
GIRARD POINT ,0.0017528483786152498,4.0
JULIA BUTLER HANSEN ,0.0017528483786152498,4.0
