longitude,latitude,time,SOG,Angle Difference
-74.83048,38.28231,Sat Apr 10 00:00:01 2021,4.0,-17.5
-74.82927,38.28314,Sat Apr 10 00:01:11 2021,4.1,-17.6
-74.82797,38.28402,Sat Apr 10 00:02:20 2021,4.2,-16.299999999999997
-74.82702,38.28494,Sat Apr 10 00:03:21 2021,4.3,-5.0
-74.82671,38.28634,Sat Apr 10 00:04:30 2021,4.5,-7.2
-74.8265,38.28782,Sat Apr 10 00:05:41 2021,4.6,-11.7
-74.82612,38.28921,Sat Apr 10 00:06:50 2021,4.5,-8.0
-74.82588,38.2906,Sat Apr 10 00:08:00 2021,4.1,-12.5
-74.82572,38.29175,Sat Apr 10 00:09:01 2021,4.1,-8.1
-74.82555,38.29298,Sat Apr 10 00:10:11 2021,3.7,-9.2
-74.82537,38.29416,Sat Apr 10 00:11:20 2021,3.6,-11.3
-74.82515,38.29527,Sat Apr 10 00:12:29 2021,3.5,-10.8
-74.82501,38.29627,Sat Apr 10 00:13:30 2021,3.6,-10.8
-74.82487,38.29742,Sat Apr 10 00:14:41 2021,3.5,-12.8
-74.82467,38.29855,Sat Apr 10 00:15:51 2021,3.5,-12.3
-74.8245,38.29968,Sat Apr 10 00:17:01 2021,3.5,-13.1
-74.82432,38.30081,Sat Apr 10 00:18:10 2021,3.4,-10.6
-74.82412,38.3021,Sat Apr 10 00:19:31 2021,3.5,-13.1
-74.82389,38.30321,Sat Apr 10 00:20:40 2021,3.5,-9.7
-74.82373,38.30436,Sat Apr 10 00:21:51 2021,3.6,-14.0
-74.82352,38.30549,Sat Apr 10 00:23:00 2021,3.4,-8.7
-74.82335,38.3066,Sat Apr 10 00:24:10 2021,3.4,-10.5
-74.82318,38.30769,Sat Apr 10 00:25:19 2021,3.4,-10.2
-74.82299,38.30881,Sat Apr 10 00:26:31 2021,3.5,-9.0
-74.82278,38.30992,Sat Apr 10 00:27:41 2021,3.5,-8.6
-74.8226,38.31104,Sat Apr 10 00:28:51 2021,3.5,-9.9
-74.82244,38.31215,Sat Apr 10 00:30:00 2021,3.5,-7.2
-74.82232,38.31315,Sat Apr 10 00:31:01 2021,3.6,-8.7
-74.82215,38.31426,Sat Apr 10 00:32:10 2021,3.4,-6.300000000000001
-74.82194,38.31538,Sat Apr 10 00:33:20 2021,3.5,-7.6
-74.82179,38.31647,Sat Apr 10 00:34:30 2021,3.4,-7.4
-74.82164,38.31776,Sat Apr 10 00:35:51 2021,3.5,-7.699999999999999
-74.82145,38.31882,Sat Apr 10 00:37:00 2021,3.4,-8.1
-74.82125,38.31994,Sat Apr 10 00:38:11 2021,3.4,-9.7
-74.82107,38.32102,Sat Apr 10 00:39:20 2021,3.5,-9.0
-74.82089,38.32216,Sat Apr 10 00:40:31 2021,3.4,-13.2
-74.82067,38.3234,Sat Apr 10 00:41:50 2021,3.5,-8.7
-74.82052,38.32452,Sat Apr 10 00:43:00 2021,3.4,-13.6
-74.82033,38.32563,Sat Apr 10 00:44:11 2021,3.5,-9.8
-74.82017,38.32672,Sat Apr 10 00:45:20 2021,3.4,-7.9
-74.81999,38.32782,Sat Apr 10 00:46:30 2021,3.5,-11.4
-74.81981,38.32895,Sat Apr 10 00:47:40 2021,3.5,-12.3
-74.81965,38.33006,Sat Apr 10 00:48:50 2021,3.5,-11.8
-74.81946,38.33118,Sat Apr 10 00:50:01 2021,3.5,-6.699999999999999
-74.8193,38.3323,Sat Apr 10 00:51:11 2021,3.5,-11.3
-74.81913,38.33341,Sat Apr 10 00:52:21 2021,3.4,-12.1
-74.81893,38.33451,Sat Apr 10 00:53:31 2021,3.4,-8.5
-74.81877,38.33561,Sat Apr 10 00:54:41 2021,3.5,-11.7
-74.81858,38.33673,Sat Apr 10 00:55:50 2021,3.5,-9.4
-74.81839,38.33789,Sat Apr 10 00:57:01 2021,3.6,-10.9
-74.8182,38.33899,Sat Apr 10 00:58:10 2021,3.4,-10.4
-74.81801,38.34011,Sat Apr 10 00:59:19 2021,3.5,-11.1
-74.8179,38.34077,Sat Apr 10 01:00:01 2021,3.5,-7.300000000000001
-74.8177,38.34187,Sat Apr 10 01:01:10 2021,3.5,-9.0
-74.81753,38.34299,Sat Apr 10 01:02:19 2021,3.4,-11.2
-74.81739,38.34398,Sat Apr 10 01:03:20 2021,3.5,-10.6
-74.81722,38.34509,Sat Apr 10 01:04:30 2021,3.5,-9.1
-74.81704,38.34624,Sat Apr 10 01:05:40 2021,3.5,-12.6
-74.81686,38.3472,Sat Apr 10 01:06:41 2021,3.5,-8.8
-74.81672,38.34833,Sat Apr 10 01:07:51 2021,3.5,-11.1
-74.81654,38.34944,Sat Apr 10 01:09:00 2021,3.5,-11.7
-74.8164,38.35041,Sat Apr 10 01:10:01 2021,3.5,-12.8
-74.81621,38.35151,Sat Apr 10 01:11:10 2021,3.5,-7.9
-74.81604,38.35262,Sat Apr 10 01:12:20 2021,3.4,-10.5
-74.81587,38.35374,Sat Apr 10 01:13:30 2021,3.4,-11.9
-74.81568,38.35481,Sat Apr 10 01:14:41 2021,3.4,-10.6
-74.81552,38.3559,Sat Apr 10 01:15:50 2021,3.4,-11.2
-74.81536,38.35697,Sat Apr 10 01:17:01 2021,3.4,-13.4
