longitude,latitude,time,SOG,Angle Difference
-87.76639,32.6391,Mon Dec 31 11:08:34 2018,3.7,3.8999999999999773
-87.77986,32.64046,Mon Dec 31 11:24:35 2018,7.1,-3.0
-87.79014,32.63796,Mon Dec 31 11:28:44 2018,8.3,-3.3000000000000114
-87.79687,32.63751,Mon Dec 31 11:31:23 2018,7.0,-4.899999999999977
-87.79942,32.63792,Mon Dec 31 11:32:35 2018,6.5,8.5
-87.80173,32.63822,Mon Dec 31 11:33:43 2018,5.8,7.300000000000011
-87.80433,32.63822,Mon Dec 31 11:35:15 2018,5.1,3.6000000000000227
-87.80634,32.63817,Mon Dec 31 11:36:43 2018,3.5,-1.8000000000000114
-87.80752,32.63824,Mon Dec 31 11:37:53 2018,2.9,-1.0
-87.80847,32.63818,Mon Dec 31 11:39:04 2018,2.3,-7.600000000000023
-87.80988,32.63795,Mon Dec 31 11:40:46 2018,3.3,15.300000000000011
-87.81069,32.63733,Mon Dec 31 11:41:53 2018,2.9,-4.300000000000011
-87.81134,32.63643,Mon Dec 31 11:43:15 2018,2.7,-9.400000000000006
-87.81174,32.63571,Mon Dec 31 11:44:24 2018,2.3,-15.699999999999989
-87.81283,32.63349,Mon Dec 31 11:47:38 2018,2.4,15.400000000000006
-87.81226,32.63168,Mon Dec 31 11:49:45 2018,4.9,5.800000000000011
-87.80876,32.62698,Mon Dec 31 11:53:05 2018,6.5,-10.599999999999994
-87.80752,32.62541,Mon Dec 31 11:54:07 2018,6.5,-21.5
-87.80708,32.6237,Mon Dec 31 11:55:13 2018,4.6,3.1999999999999886
-87.80699,32.62249,Mon Dec 31 11:56:24 2018,3.5,2.8000000000000114
-87.80693,32.62107,Mon Dec 31 11:57:34 2018,5.2,13.199999999999989
-87.80608,32.61893,Mon Dec 31 11:58:54 2018,6.7,11.300000000000011
-87.80353,32.61588,Mon Dec 31 12:00:44 2018,7.8,1.4000000000000057
-87.80154,32.61389,Mon Dec 31 12:01:54 2018,8.0,-0.19999999999998863
-87.79964,32.61181,Mon Dec 31 12:03:05 2018,7.9,8.599999999999994
-87.79764,32.60993,Mon Dec 31 12:04:14 2018,8.0,15.400000000000006
-87.79462,32.60828,Mon Dec 31 12:05:35 2018,8.2,10.400000000000006
-87.79171,32.60741,Mon Dec 31 12:06:44 2018,7.9,-0.09999999999999432
-87.78907,32.60672,Mon Dec 31 12:07:54 2018,6.6,-4.200000000000003
-87.78709,32.60605,Mon Dec 31 12:09:03 2018,5.1,1.4000000000000057
-87.78556,32.60549,Mon Dec 31 12:10:24 2018,2.8,9.099999999999994
-87.78471,32.60527,Mon Dec 31 12:11:35 2018,2.3,15.200000000000003
-87.78347,32.60518,Mon Dec 31 12:12:37 2018,4.6,17.799999999999997
-87.78151,32.60583,Mon Dec 31 12:13:44 2018,6.5,4.0
-87.77906,32.60697,Mon Dec 31 12:14:53 2018,7.8,-2.3999999999999986
-87.77626,32.60811,Mon Dec 31 12:16:03 2018,8.1,-9.200000000000003
-87.77237,32.60899,Mon Dec 31 12:17:34 2018,8.2,0.4000000000000057
-87.7695,32.60939,Mon Dec 31 12:18:37 2018,8.3,15.5
-87.76673,32.61022,Mon Dec 31 12:19:44 2018,7.8,13.100000000000001
-87.7648,32.61165,Mon Dec 31 12:20:47 2018,7.4,-11.0
-87.76261,32.61288,Mon Dec 31 12:21:54 2018,6.9,-10.299999999999997
-87.7601,32.61368,Mon Dec 31 12:23:04 2018,6.8,-8.799999999999997
-87.75303,32.61436,Mon Dec 31 12:27:04 2018,3.4,-0.7999999999999972
-87.74583,32.60373,Mon Dec 31 12:38:23 2018,8.0,-0.5999999999999943
-87.74358,32.59798,Mon Dec 31 12:41:03 2018,7.7,11.5
-87.7389,32.59166,Mon Dec 31 12:45:23 2018,4.1,1.1999999999999886
-87.73817,32.59059,Mon Dec 31 12:46:54 2018,2.5,-0.4000000000000057
-87.73802,32.58982,Mon Dec 31 12:48:04 2018,2.2,7.0
-87.73812,32.58926,Mon Dec 31 12:49:11 2018,2.0,-16.69999999999999
-87.73833,32.58866,Mon Dec 31 12:50:13 2018,2.2,-27.400000000000006
-87.73945,32.58815,Mon Dec 31 12:51:24 2018,4.4,-2.6000000000000227
-87.74159,32.588,Mon Dec 31 12:52:34 2018,6.3,14.300000000000011
-87.74407,32.58756,Mon Dec 31 12:53:43 2018,7.1,14.900000000000006
-87.7467,32.58663,Mon Dec 31 12:54:55 2018,7.3,6.099999999999994
-87.74912,32.5853,Mon Dec 31 12:56:04 2018,7.6,1.0
-87.75193,32.58391,Mon Dec 31 12:57:23 2018,7.5,8.800000000000011
-87.75468,32.58241,Mon Dec 31 12:58:44 2018,7.5,19.80000000000001
-87.75688,32.5805,Mon Dec 31 13:00:04 2018,7.2,12.599999999999994
-87.75825,32.57846,Mon Dec 31 13:01:15 2018,7.0,8.5
-87.75927,32.57641,Mon Dec 31 13:02:25 2018,6.6,7.099999999999994
-87.76,32.57469,Mon Dec 31 13:03:33 2018,5.0,6.900000000000006
-87.76048,32.57336,Mon Dec 31 13:04:44 2018,3.8,6.0
-87.7608,32.57223,Mon Dec 31 13:05:55 2018,3.4,-4.199999999999989
-87.76118,32.57131,Mon Dec 31 13:07:03 2018,2.5,-6.800000000000011
-87.76165,32.57059,Mon Dec 31 13:08:13 2018,2.6,-5.0
-87.76235,32.56996,Mon Dec 31 13:09:25 2018,2.7,-2.4000000000000057
-87.7631,32.56935,Mon Dec 31 13:10:34 2018,2.7,-2.5
-87.76397,32.56882,Mon Dec 31 13:11:44 2018,2.8,-2.3000000000000114
-87.76488,32.56836,Mon Dec 31 13:12:53 2018,2.9,-5.800000000000011
-87.7659,32.56799,Mon Dec 31 13:14:03 2018,2.9,-6.099999999999994
-87.76715,32.56782,Mon Dec 31 13:15:24 2018,2.9,-7.899999999999977
-87.76815,32.56803,Mon Dec 31 13:16:35 2018,2.4,5.699999999999989
-87.76891,32.5686,Mon Dec 31 13:18:03 2018,2.0,10.600000000000023
-87.76957,32.56914,Mon Dec 31 13:19:23 2018,2.3,-13.0
-87.77027,32.57022,Mon Dec 31 13:20:34 2018,4.9,-7.399999999999977
-87.7709,32.57214,Mon Dec 31 13:21:49 2018,5.8,-22.5
-87.77081,32.57402,Mon Dec 31 13:22:55 2018,6.5,-3.5
-87.7704,32.5758,Mon Dec 31 13:24:04 2018,4.6,-6.0
-87.77003,32.57787,Mon Dec 31 13:26:33 2018,1.9,-6.4
-87.76993,32.57839,Mon Dec 31 13:27:44 2018,1.8,18.80000000000001
-87.76975,32.57938,Mon Dec 31 13:28:50 2018,4.1,35.19999999999999
-87.77141,32.58163,Mon Dec 31 13:30:35 2018,6.6,23.399999999999977
-87.77368,32.58277,Mon Dec 31 13:31:44 2018,7.3,9.600000000000023
-87.77621,32.58348,Mon Dec 31 13:32:53 2018,6.6,-0.8999999999999773
-87.78051,32.58478,Mon Dec 31 13:35:34 2018,3.8,2.8000000000000114
-87.78194,32.58526,Mon Dec 31 13:37:05 2018,2.5,7.600000000000023
-87.78275,32.58536,Mon Dec 31 13:38:34 2018,1.5,17.30000000000001
-87.78365,32.58541,Mon Dec 31 13:39:38 2018,3.6,28.600000000000023
-87.78522,32.58476,Mon Dec 31 13:40:45 2018,5.5,23.0
-87.78683,32.58327,Mon Dec 31 13:41:54 2018,6.9,23.599999999999994
