longitude,latitude,time,SOG,Angle Difference
-89.98333,29.99825,Thu Jun 10 00:00:08 2021,0.2,-39.19999999999999
-89.98336,29.99821,Thu Jun 10 00:01:14 2021,0.1,89.4
-89.98335,29.99822,Thu Jun 10 00:02:25 2021,0.0,49.69999999999999
-89.98334,29.99821,Thu Jun 10 00:03:35 2021,0.0,41.599999999999994
-89.98334,29.99821,Thu Jun 10 00:04:44 2021,0.0,141.60000000000002
-89.98335,29.99822,Thu Jun 10 00:05:54 2021,0.0,159.2
-89.98336,29.99821,Thu Jun 10 00:07:04 2021,0.0,89.30000000000001
-89.98335,29.99821,Thu Jun 10 00:08:24 2021,0.0,151.10000000000002
-89.98335,29.99822,Thu Jun 10 00:09:25 2021,0.0,54.30000000000001
-89.98336,29.99821,Thu Jun 10 00:10:34 2021,0.0,37.0
-89.98336,29.99821,Thu Jun 10 00:11:44 2021,0.0,-13.099999999999994
-89.98335,29.99821,Thu Jun 10 00:12:54 2021,0.0,56.5
-89.98335,29.99821,Thu Jun 10 00:13:55 2021,0.0,51.0
-89.98334,29.99822,Thu Jun 10 00:15:03 2021,0.0,-161.8
-89.98334,29.99821,Thu Jun 10 00:16:05 2021,0.0,2.0
-89.98335,29.99821,Thu Jun 10 00:17:14 2021,0.0,102.0
-89.98334,29.99821,Thu Jun 10 00:18:23 2021,0.0,119.69999999999999
-89.98334,29.99821,Thu Jun 10 00:19:33 2021,0.0,37.19999999999999
-89.98334,29.99821,Thu Jun 10 00:20:43 2021,0.0,47.599999999999994
-89.98335,29.99821,Thu Jun 10 00:22:05 2021,0.0,151.0
-89.98334,29.99821,Thu Jun 10 00:23:14 2021,0.0,152.60000000000002
-89.98335,29.99822,Thu Jun 10 00:24:23 2021,0.0,-14.900000000000006
-89.98335,29.99821,Thu Jun 10 00:25:33 2021,0.0,22.5
-89.98335,29.99822,Thu Jun 10 00:26:43 2021,0.0,99.89999999999998
-89.98335,29.99822,Thu Jun 10 00:27:44 2021,0.0,62.900000000000006
-89.98335,29.99821,Thu Jun 10 00:28:53 2021,0.0,170.39999999999998
-89.98335,29.99821,Thu Jun 10 00:30:04 2021,0.0,66.9
-89.98336,29.9982,Thu Jun 10 00:31:14 2021,0.0,65.19999999999999
-89.98336,29.9982,Thu Jun 10 00:32:23 2021,0.0,166.2
-89.98336,29.99821,Thu Jun 10 00:33:24 2021,0.0,133.39999999999998
-89.98336,29.99822,Thu Jun 10 00:34:33 2021,0.0,64.69999999999999
-89.98336,29.99823,Thu Jun 10 00:35:43 2021,0.0,21.80000000000001
-89.98335,29.99822,Thu Jun 10 00:36:53 2021,0.0,-24.80000000000001
-89.98335,29.99821,Thu Jun 10 00:38:05 2021,0.0,12.900000000000006
-89.98333,29.99821,Thu Jun 10 00:39:13 2021,0.0,80.80000000000001
-89.98335,29.99823,Thu Jun 10 00:40:24 2021,0.0,120.10000000000002
-89.98336,29.99823,Thu Jun 10 00:41:25 2021,0.0,52.5
-89.98336,29.99822,Thu Jun 10 00:42:34 2021,0.0,-30.30000000000001
-89.98336,29.99821,Thu Jun 10 00:43:44 2021,0.0,-38.400000000000006
