longitude,latitude,time
-88.01536,30.48268,Thu Jan  6 00:00:19 2022
-88.01567,30.4841,Thu Jan  6 00:01:29 2022
-88.01601,30.4857,Thu Jan  6 00:02:40 2022
-88.01688,30.48911,Thu Jan  6 00:04:59 2022
-88.01647,30.48738,Thu Jan  6 00:03:50 2022
-88.01704,30.49092,Thu Jan  6 00:06:09 2022
-88.0174,30.49268,Thu Jan  6 00:07:18 2022
-88.01837,30.49782,Thu Jan  6 00:10:40 2022
-88.01814,30.49602,Thu Jan  6 00:09:30 2022
-88.01775,30.49421,Thu Jan  6 00:08:19 2022
-88.01967,30.50486,Thu Jan  6 00:15:20 2022
-88.01864,30.49952,Thu Jan  6 00:11:49 2022
-88.01903,30.50131,Thu Jan  6 00:13:00 2022
-88.01991,30.50659,Thu Jan  6 00:16:29 2022
-88.02019,30.50836,Thu Jan  6 00:17:39 2022
-88.02051,30.51014,Thu Jan  6 00:18:50 2022
-88.02081,30.51188,Thu Jan  6 00:20:00 2022
-88.01938,30.5031,Thu Jan  6 00:14:10 2022
-88.02121,30.51538,Thu Jan  6 00:22:20 2022
-88.02101,30.5136,Thu Jan  6 00:21:09 2022
-88.02138,30.51712,Thu Jan  6 00:23:30 2022
-88.02179,30.52083,Thu Jan  6 00:26:00 2022
-88.02218,30.52455,Thu Jan  6 00:28:30 2022
-88.02163,30.51907,Thu Jan  6 00:24:49 2022
-88.02246,30.52624,Thu Jan  6 00:29:39 2022
-88.02319,30.53108,Thu Jan  6 00:32:58 2022
-88.02277,30.52793,Thu Jan  6 00:30:49 2022
-88.02199,30.52282,Thu Jan  6 00:27:20 2022
-88.0234,30.53282,Thu Jan  6 00:34:09 2022
-88.02295,30.52941,Thu Jan  6 00:31:50 2022
-88.0236,30.5345,Thu Jan  6 00:35:18 2022
-88.02379,30.53602,Thu Jan  6 00:36:20 2022
-88.02399,30.53769,Thu Jan  6 00:37:28 2022
-88.02438,30.54108,Thu Jan  6 00:39:48 2022
-88.02459,30.5428,Thu Jan  6 00:40:58 2022
-88.02418,30.53944,Thu Jan  6 00:38:40 2022
-88.02497,30.5465,Thu Jan  6 00:43:30 2022
-88.02474,30.54453,Thu Jan  6 00:42:09 2022
-88.02522,30.54815,Thu Jan  6 00:44:38 2022
-88.02554,30.54984,Thu Jan  6 00:45:48 2022
-88.02579,30.55156,Thu Jan  6 00:46:59 2022
-88.0259,30.55324,Thu Jan  6 00:48:09 2022
-88.02598,30.55966,Thu Jan  6 00:52:39 2022
