longitude,latitude,time,SOG,Angle Difference
-91.07093,32.02101,Wed Mar 22 00:02:48 2023,9.7,-8.5
-91.07281,32.01775,Wed Mar 22 00:04:09 2023,9.5,-3.5
-91.07488,32.01473,Wed Mar 22 00:05:28 2023,9.6,-4.199999999999989
-91.07691,32.01207,Wed Mar 22 00:06:38 2023,9.6,-0.09999999999999432
-91.07886,32.00942,Wed Mar 22 00:07:48 2023,9.5,-3.6999999999999886
-91.08211,32.00545,Wed Mar 22 00:09:38 2023,9.4,-1.9000000000000057
-91.08424,32.00305,Wed Mar 22 00:10:48 2023,9.4,-6.400000000000006
-91.08663,32.00071,Wed Mar 22 00:11:58 2023,9.4,-6.0
-91.08909,31.99855,Wed Mar 22 00:13:08 2023,9.3,-4.5
-91.09236,31.99577,Wed Mar 22 00:14:39 2023,9.2,-11.0
-91.09575,31.99342,Wed Mar 22 00:16:08 2023,8.9,-8.599999999999994
-91.09983,31.99108,Wed Mar 22 00:17:49 2023,8.8,-6.900000000000006
-91.10303,31.9895,Wed Mar 22 00:19:08 2023,8.7,-5.0
-91.10771,31.98749,Wed Mar 22 00:20:58 2023,8.8,-9.0
-91.11719,31.985,Wed Mar 22 00:24:29 2023,8.4,-7.199999999999989
-91.12038,31.9846,Wed Mar 22 00:25:38 2023,8.5,-5.699999999999989
-91.12595,31.98429,Wed Mar 22 00:27:38 2023,8.5,-0.19999999999998863
-91.12933,31.98403,Wed Mar 22 00:28:49 2023,8.7,-1.8000000000000114
-91.13846,31.98386,Wed Mar 22 00:31:59 2023,8.9,6.899999999999977
-91.14192,31.98365,Wed Mar 22 00:33:09 2023,8.9,3.3000000000000114
-91.14625,31.98327,Wed Mar 22 00:34:38 2023,9.0,0.8999999999999773
-91.15066,31.98298,Wed Mar 22 00:36:08 2023,9.0,4.100000000000023
-91.16091,31.98185,Wed Mar 22 00:39:38 2023,8.9,9.199999999999989
-91.16509,31.98091,Wed Mar 22 00:41:08 2023,8.7,4.5
-91.1683,31.9801,Wed Mar 22 00:42:18 2023,8.7,8.800000000000011
-91.17277,31.9789,Wed Mar 22 00:43:59 2023,8.3,21.400000000000006
-91.17546,31.97756,Wed Mar 22 00:45:08 2023,8.0,18.099999999999994
-91.17784,31.97596,Wed Mar 22 00:46:18 2023,7.8,13.900000000000006
-91.17994,31.97412,Wed Mar 22 00:47:28 2023,8.1,13.099999999999994
-91.35304,31.8208,Wed Mar 22 02:31:19 2023,9.2,7.599999999999994
-91.35658,31.80859,Wed Mar 22 02:36:09 2023,9.3,9.5
-91.3577,31.80361,Wed Mar 22 02:38:09 2023,8.8,7.599999999999994
-91.3582,31.79924,Wed Mar 22 02:39:59 2023,8.6,5.099999999999994
-91.35858,31.79447,Wed Mar 22 02:41:59 2023,8.6,4.400000000000006
-91.3589,31.78971,Wed Mar 22 02:43:59 2023,8.5,2.1999999999999886
-91.35883,31.78578,Wed Mar 22 02:45:38 2023,8.5,-10.400000000000006
-91.3935,31.7145,Wed Mar 22 03:18:09 2023,8.4,1.6999999999999886
-91.39875,31.70737,Wed Mar 22 03:21:48 2023,8.0,15.0
-91.3999,31.70462,Wed Mar 22 03:23:08 2023,7.8,9.400000000000006
-91.4009,31.70179,Wed Mar 22 03:24:29 2023,7.8,12.099999999999994
-91.40197,31.69517,Wed Mar 22 03:27:29 2023,8.2,7.800000000000011
-91.4021,31.69246,Wed Mar 22 03:28:39 2023,8.3,1.5
-91.40206,31.68893,Wed Mar 22 03:30:08 2023,8.7,1.8000000000000114
-91.40202,31.68524,Wed Mar 22 03:31:38 2023,9.0,2.5999999999999943
-91.40197,31.6822,Wed Mar 22 03:32:48 2023,9.2,5.099999999999994
-91.40177,31.677,Wed Mar 22 03:34:48 2023,9.4,2.4000000000000057
-91.40109,31.66708,Wed Mar 22 03:38:28 2023,9.8,-1.5
-91.401,31.65975,Wed Mar 22 03:41:08 2023,9.8,1.0999999999999943
-91.40108,31.6557,Wed Mar 22 03:42:38 2023,9.7,-0.6999999999999886
-91.40129,31.65161,Wed Mar 22 03:44:08 2023,9.5,0.09999999999999432
-91.40151,31.64635,Wed Mar 22 03:46:08 2023,9.4,0.6999999999999886
-91.40158,31.6428,Wed Mar 22 03:47:29 2023,9.4,-0.5
-91.4018,31.63884,Wed Mar 22 03:48:59 2023,9.2,-0.9000000000000057
-91.40215,31.63369,Wed Mar 22 03:50:59 2023,9.1,4.699999999999989
-91.40235,31.63078,Wed Mar 22 03:52:09 2023,9.0,1.3000000000000114
-91.40327,31.62257,Wed Mar 22 03:55:27 2023,8.8,3.5
-91.40379,31.6184,Wed Mar 22 03:57:09 2023,8.9,4.400000000000006
-91.40422,31.61512,Wed Mar 22 03:58:28 2023,8.9,5.300000000000011
-91.40456,31.61105,Wed Mar 22 04:00:08 2023,8.9,2.0999999999999943
-91.40492,31.60814,Wed Mar 22 04:01:19 2023,8.9,2.9000000000000057
-91.40528,31.60357,Wed Mar 22 04:03:08 2023,9.0,1.6999999999999886
-91.40571,31.5941,Wed Mar 22 04:06:48 2023,9.3,-2.4000000000000057
-91.40601,31.58883,Wed Mar 22 04:08:49 2023,9.3,-10.5
-91.40661,31.58552,Wed Mar 22 04:10:08 2023,9.0,-5.400000000000006
-91.41027,31.57348,Wed Mar 22 04:15:09 2023,8.6,1.5
-91.41241,31.56913,Wed Mar 22 04:17:09 2023,8.4,1.4000000000000057
-91.41548,31.56434,Wed Mar 22 04:19:29 2023,8.5,12.400000000000006
-91.41795,31.56093,Wed Mar 22 04:21:09 2023,8.7,13.5
-91.41927,31.55941,Wed Mar 22 04:22:11 2023,4.1,25.69999999999999
-91.41954,31.55901,Wed Mar 22 04:23:21 2023,0.7,118.69999999999999
-91.42016,31.55861,Wed Mar 22 04:24:49 2023,1.8,166.6
-91.4209,31.55813,Wed Mar 22 04:26:06 2023,2.0,150.4
-91.42153,31.55766,Wed Mar 22 04:27:08 2023,2.6,125.9
-91.42207,31.55707,Wed Mar 22 04:28:09 2023,2.4,120.9
-91.42273,31.55607,Wed Mar 22 04:29:23 2023,4.1,60.69999999999999
-91.42339,31.55487,Wed Mar 22 04:30:25 2023,4.7,60.19999999999999
-91.42437,31.55362,Wed Mar 22 04:31:33 2023,4.8,34.0
-91.42547,31.55246,Wed Mar 22 04:32:39 2023,4.7,69.5
-91.42639,31.55082,Wed Mar 22 04:34:25 2023,2.9,84.5
-91.4263,31.55027,Wed Mar 22 04:58:29 2023,0.2,-117.10000000000002
-91.4263,31.55032,Wed Mar 22 05:34:59 2023,0.0,-98.89999999999998
-91.42631,31.55034,Wed Mar 22 05:36:10 2023,0.0,-100.30000000000001
-91.42632,31.55039,Wed Mar 22 05:39:48 2023,0.0,-102.89999999999998
-91.42627,31.55047,Wed Mar 22 06:09:07 2023,0.0,-100.19999999999999
-91.42626,31.55047,Wed Mar 22 06:10:49 2023,0.0,-118.0
-91.42625,31.55038,Wed Mar 22 06:21:29 2023,0.0,-149.7
-91.42623,31.55032,Wed Mar 22 06:46:49 2023,0.0,-119.30000000000001
-91.42623,31.55031,Wed Mar 22 06:53:09 2023,0.0,-89.69999999999999
-91.42622,31.55031,Wed Mar 22 07:01:19 2023,0.0,-49.0
-91.42622,31.55031,Wed Mar 22 07:02:49 2023,0.1,-58.7
-91.42624,31.55035,Wed Mar 22 07:06:28 2023,0.0,-74.3
-91.42624,31.55035,Wed Mar 22 07:07:48 2023,0.0,-65.6
-91.42625,31.55035,Wed Mar 22 07:14:58 2023,0.0,-44.6
-91.42625,31.55036,Wed Mar 22 07:58:08 2023,0.0,-44.1
-91.42625,31.55039,Wed Mar 22 08:00:09 2023,0.0,-68.9
-91.42625,31.5504,Wed Mar 22 08:04:28 2023,0.0,-81.10000000000002
-91.42625,31.55038,Wed Mar 22 08:16:29 2023,0.0,-112.80000000000001
-91.42624,31.55036,Wed Mar 22 08:22:49 2023,0.0,-126.69999999999999
-91.42624,31.55037,Wed Mar 22 08:25:49 2023,0.0,-152.7
-91.42621,31.55034,Wed Mar 22 08:28:18 2023,0.0,157.7
-91.42621,31.55033,Wed Mar 22 08:29:28 2023,0.0,155.6
-91.42621,31.55033,Wed Mar 22 08:32:59 2023,0.0,172.6
-91.42624,31.55038,Wed Mar 22 08:42:08 2023,0.0,-109.39999999999998
