longitude,latitude,time
-157.74065,21.20673,Sat Jan  2 00:00:02 2021
-157.74355,21.20792,Sat Jan  2 00:01:05 2021
-157.74623,21.20898,Sat Jan  2 00:02:06 2021
-157.74911,21.21011,Sat Jan  2 00:03:09 2021
-157.75479,21.21232,Sat Jan  2 00:05:13 2021
-157.75197,21.21123,Sat Jan  2 00:04:11 2021
-157.76077,21.21467,Sat Jan  2 00:07:22 2021
-157.76361,21.2156,Sat Jan  2 00:08:23 2021
-157.76938,21.21751,Sat Jan  2 00:10:25 2021
-157.76648,21.21665,Sat Jan  2 00:09:24 2021
-157.77828,21.22029,Sat Jan  2 00:13:33 2021
-157.77525,21.21938,Sat Jan  2 00:12:29 2021
-157.78133,21.22112,Sat Jan  2 00:14:35 2021
-157.78422,21.22192,Sat Jan  2 00:15:36 2021
-157.78712,21.22275,Sat Jan  2 00:16:39 2021
-157.79005,21.2236,Sat Jan  2 00:17:40 2021
-157.79293,21.22441,Sat Jan  2 00:18:42 2021
-157.80195,21.22688,Sat Jan  2 00:21:52 2021
-157.79891,21.22608,Sat Jan  2 00:20:49 2021
-157.80499,21.22765,Sat Jan  2 00:22:57 2021
-157.81377,21.2303,Sat Jan  2 00:26:04 2021
-157.811,21.22921,Sat Jan  2 00:25:02 2021
-157.81664,21.23155,Sat Jan  2 00:27:09 2021
-157.8192,21.23303,Sat Jan  2 00:28:13 2021
-157.82819,21.24068,Sat Jan  2 00:32:25 2021
-157.82378,21.23683,Sat Jan  2 00:30:20 2021
-157.83038,21.24252,Sat Jan  2 00:33:26 2021
-157.82596,21.23876,Sat Jan  2 00:31:22 2021
-157.83493,21.24635,Sat Jan  2 00:35:30 2021
-157.83266,21.24443,Sat Jan  2 00:34:28 2021
-157.83952,21.25032,Sat Jan  2 00:37:35 2021
-157.84192,21.25233,Sat Jan  2 00:38:38 2021
-157.84733,21.25698,Sat Jan  2 00:41:02 2021
-157.85169,21.26051,Sat Jan  2 00:43:13 2021
-157.8538,21.26215,Sat Jan  2 00:44:17 2021
-157.85746,21.26499,Sat Jan  2 00:46:19 2021
-157.84425,21.2543,Sat Jan  2 00:39:41 2021
-157.86084,21.26768,Sat Jan  2 00:48:29 2021
-157.86264,21.26906,Sat Jan  2 00:49:39 2021
-157.86437,21.27044,Sat Jan  2 00:50:49 2021
-157.85575,21.26368,Sat Jan  2 00:45:18 2021
-157.86889,21.27449,Sat Jan  2 00:54:01 2021
-157.87043,21.27586,Sat Jan  2 00:55:08 2021
-157.8747,21.2803,Sat Jan  2 00:58:31 2021
-157.87203,21.2773,Sat Jan  2 00:56:18 2021
-157.87591,21.28264,Sat Jan  2 01:00:02 2021
-157.87627,21.28422,Sat Jan  2 01:01:03 2021
-157.87619,21.28581,Sat Jan  2 01:02:04 2021
-157.87495,21.28861,Sat Jan  2 01:04:08 2021
-157.87357,21.27882,Sat Jan  2 00:57:28 2021
-157.87556,21.28187,Sat Jan  2 00:59:33 2021
-157.87416,21.29015,Sat Jan  2 01:05:13 2021
-157.87248,21.29339,Sat Jan  2 01:07:17 2021
-157.87154,21.29498,Sat Jan  2 01:08:18 2021
-157.87028,21.29709,Sat Jan  2 01:09:38 2021
-157.87563,21.28728,Sat Jan  2 01:03:07 2021
-157.86919,21.29895,Sat Jan  2 01:10:49 2021
-157.86829,21.30066,Sat Jan  2 01:11:57 2021
-157.8733,21.29178,Sat Jan  2 01:06:16 2021
-157.87227,21.30895,Sat Jan  2 01:18:19 2021
-157.87359,21.30984,Sat Jan  2 01:19:22 2021
-157.87092,21.30801,Sat Jan  2 01:17:15 2021
-157.86968,21.30686,Sat Jan  2 01:16:12 2021
-157.87497,21.31081,Sat Jan  2 01:20:29 2021
-157.87629,21.31172,Sat Jan  2 01:21:31 2021
-157.87863,21.31356,Sat Jan  2 01:23:44 2021
-157.87761,21.31267,Sat Jan  2 01:22:39 2021
-157.86775,21.30219,Sat Jan  2 01:12:58 2021
-157.8793,21.31423,Sat Jan  2 01:24:46 2021
-157.88009,21.31494,Sat Jan  2 01:25:49 2021
-157.88076,21.31539,Sat Jan  2 01:27:56 2021
-157.88051,21.31498,Sat Jan  2 01:26:53 2021
-157.88095,21.3155,Sat Jan  2 01:28:58 2021
-157.88099,21.3155,Sat Jan  2 01:30:02 2021
-157.88121,21.31552,Sat Jan  2 01:31:06 2021
-157.88123,21.31584,Sat Jan  2 01:32:08 2021
-157.88115,21.31711,Sat Jan  2 01:34:28 2021
-157.8811,21.318,Sat Jan  2 01:36:42 2021
-157.88111,21.3188,Sat Jan  2 01:38:59 2021
-157.8811,21.31847,Sat Jan  2 01:37:49 2021
-157.8811,21.319,Sat Jan  2 01:40:09 2021
-157.88122,21.31652,Sat Jan  2 01:33:19 2021
-157.88106,21.31919,Sat Jan  2 01:41:18 2021
-157.88105,21.3193,Sat Jan  2 01:45:58 2021
-157.88104,21.3193,Sat Jan  2 01:44:49 2021
-157.88105,21.31928,Sat Jan  2 01:43:38 2021
-157.88109,21.31758,Sat Jan  2 01:35:38 2021
-157.88102,21.31932,Sat Jan  2 01:47:09 2021
-157.88105,21.3193,Sat Jan  2 01:48:18 2021
-157.88106,21.31893,Sat Jan  2 01:53:49 2021
-157.88117,21.31747,Sat Jan  2 01:55:55 2021
-157.881,21.31932,Sat Jan  2 01:52:39 2021
-157.87954,21.31426,Sat Jan  2 01:57:59 2021
-157.88103,21.31837,Sat Jan  2 01:54:53 2021
-157.88086,21.31586,Sat Jan  2 01:56:58 2021
-157.88102,21.31929,Sat Jan  2 01:51:35 2021
-157.8774,21.31267,Sat Jan  2 01:59:09 2021
-157.87364,21.30996,Sat Jan  2 02:01:09 2021
-157.87167,21.30867,Sat Jan  2 02:02:11 2021
-157.86971,21.30804,Sat Jan  2 02:03:12 2021
-157.86891,21.30895,Sat Jan  2 02:04:13 2021
-157.86835,21.30951,Sat Jan  2 02:05:14 2021
