longitude,latitude,time
-124.12999,46.59832,Sat Jan 15 06:19:39 2022
-124.13004,46.5983,Sat Jan 15 06:21:57 2022
-124.13008,46.5983,Sat Jan 15 06:23:05 2022
-124.13015,46.59831,Sat Jan 15 06:24:08 2022
-124.13015,46.59833,Sat Jan 15 06:25:14 2022
-124.13016,46.59835,Sat Jan 15 06:26:16 2022
-124.13017,46.59835,Sat Jan 15 06:27:25 2022
-124.13021,46.59836,Sat Jan 15 06:28:27 2022
-124.13019,46.59833,Sat Jan 15 06:29:35 2022
-124.13001,46.5983,Sat Jan 15 06:32:14 2022
-124.12997,46.59828,Sat Jan 15 06:33:15 2022
-124.12999,46.59825,Sat Jan 15 06:34:34 2022
-124.12998,46.59823,Sat Jan 15 06:35:35 2022
-124.12997,46.59823,Sat Jan 15 06:36:45 2022
-124.12997,46.59821,Sat Jan 15 06:37:47 2022
-124.12991,46.59819,Sat Jan 15 06:39:04 2022
-124.12997,46.59817,Sat Jan 15 06:40:15 2022
-124.12995,46.59817,Sat Jan 15 06:41:16 2022
-124.12995,46.59816,Sat Jan 15 06:42:25 2022
-124.12991,46.59813,Sat Jan 15 06:43:27 2022
-124.12995,46.59813,Sat Jan 15 06:44:34 2022
-124.12995,46.59811,Sat Jan 15 06:45:44 2022
-124.12997,46.5981,Sat Jan 15 06:46:45 2022
-124.12996,46.59809,Sat Jan 15 06:48:03 2022
-124.12994,46.59809,Sat Jan 15 06:49:05 2022
-124.12988,46.59808,Sat Jan 15 06:50:08 2022
-124.12988,46.59804,Sat Jan 15 06:51:14 2022
-124.12987,46.59806,Sat Jan 15 06:52:15 2022
-124.12994,46.59804,Sat Jan 15 06:53:24 2022
-124.12994,46.59805,Sat Jan 15 06:54:25 2022
-124.12996,46.59804,Sat Jan 15 06:55:26 2022
-124.13,46.59804,Sat Jan 15 06:57:24 2022
-124.12999,46.59802,Sat Jan 15 06:58:25 2022
-124.13005,46.59802,Sat Jan 15 07:00:15 2022
-124.13008,46.59803,Sat Jan 15 07:01:24 2022
