longitude,latitude,time,SOG,Angle Difference
-81.03683,32.08488,Mon Jan 24 00:01:08 2022,0.0,-9.699999999999989
-81.03684,32.08488,Mon Jan 24 00:02:17 2022,0.0,53.30000000000001
-81.03685,32.08489,Mon Jan 24 00:03:27 2022,0.0,-66.0
-81.03683,32.08488,Mon Jan 24 00:04:38 2022,0.0,12.199999999999989
-81.03682,32.08489,Mon Jan 24 00:05:46 2022,0.0,-17.599999999999994
-81.03682,32.08489,Mon Jan 24 00:06:58 2022,0.0,26.5
-81.03681,32.08489,Mon Jan 24 00:08:08 2022,0.1,-12.300000000000011
-81.03681,32.08488,Mon Jan 24 00:09:17 2022,0.0,-113.6
-81.03681,32.08489,Mon Jan 24 00:10:28 2022,0.0,-13.199999999999989
-81.03681,32.08488,Mon Jan 24 00:11:38 2022,0.0,6.5
-81.03682,32.08489,Mon Jan 24 00:12:47 2022,0.0,131.3
-81.03683,32.08489,Mon Jan 24 00:13:58 2022,0.0,122.0
-81.03682,32.08488,Mon Jan 24 00:15:08 2022,0.0,136.5
-81.03684,32.08488,Mon Jan 24 00:16:27 2022,0.0,-90.19999999999999
-81.03685,32.08488,Mon Jan 24 00:17:38 2022,0.0,-138.5
-81.03683,32.08487,Mon Jan 24 00:18:47 2022,0.0,149.39999999999998
-81.03683,32.08487,Mon Jan 24 00:19:57 2022,0.0,15.0
-81.03684,32.08488,Mon Jan 24 00:21:07 2022,0.0,130.89999999999998
-81.03684,32.08489,Mon Jan 24 00:22:18 2022,0.0,-54.099999999999994
-81.03681,32.08489,Mon Jan 24 00:23:27 2022,0.0,10.699999999999989
-81.03682,32.0849,Mon Jan 24 00:24:37 2022,0.0,-93.0
-81.03682,32.0849,Mon Jan 24 00:25:47 2022,0.0,-60.099999999999994
-81.03683,32.0849,Mon Jan 24 00:26:56 2022,0.0,40.39999999999998
-81.03683,32.0849,Mon Jan 24 00:27:57 2022,0.0,19.80000000000001
-81.03682,32.08489,Mon Jan 24 00:29:08 2022,0.0,-3.0
-81.03682,32.08489,Mon Jan 24 00:30:17 2022,0.1,90.80000000000001
-81.03684,32.08488,Mon Jan 24 00:31:27 2022,0.0,52.10000000000002
-81.03684,32.08487,Mon Jan 24 00:32:37 2022,0.0,30.0
-81.03683,32.08488,Mon Jan 24 00:33:47 2022,0.0,14.600000000000023
-81.03684,32.08488,Mon Jan 24 00:34:48 2022,0.0,10.600000000000023
-81.03684,32.08487,Mon Jan 24 00:35:58 2022,0.0,-5.0
-81.03685,32.08488,Mon Jan 24 00:37:08 2022,0.0,42.69999999999999
-81.03684,32.08487,Mon Jan 24 00:38:17 2022,0.0,-3.3999999999999773
-81.03683,32.08486,Mon Jan 24 00:39:27 2022,0.0,-41.30000000000001
-81.03683,32.08488,Mon Jan 24 00:40:28 2022,0.0,-11.5
-81.03684,32.08488,Mon Jan 24 00:41:37 2022,0.0,-6.0
-81.03684,32.08487,Mon Jan 24 00:42:48 2022,0.0,-129.6
-81.03683,32.08489,Mon Jan 24 00:43:57 2022,0.0,28.19999999999999
-81.03682,32.08489,Mon Jan 24 00:45:07 2022,0.0,-34.400000000000006
-81.03683,32.08488,Mon Jan 24 00:46:18 2022,0.0,75.5
-81.03682,32.08487,Mon Jan 24 00:47:27 2022,0.0,56.0
-81.03682,32.08485,Mon Jan 24 00:48:37 2022,0.0,20.19999999999999
-81.03682,32.08485,Mon Jan 24 00:49:48 2022,0.0,13.699999999999989
-81.03681,32.08486,Mon Jan 24 00:50:57 2022,0.0,80.19999999999999
-81.03684,32.08488,Mon Jan 24 00:51:58 2022,0.0,-21.599999999999994
-81.03686,32.08487,Mon Jan 24 00:53:08 2022,0.0,34.80000000000001
-81.03686,32.08487,Mon Jan 24 00:54:18 2022,0.0,-26.69999999999999
-81.03685,32.08484,Mon Jan 24 00:55:27 2022,0.0,-75.9
-81.03684,32.08484,Mon Jan 24 00:56:38 2022,0.0,16.69999999999999
-81.03684,32.08486,Mon Jan 24 00:57:48 2022,0.0,10.100000000000023
-81.03688,32.08497,Mon Jan 24 00:58:58 2022,0.0,46.89999999999998
-81.03681,32.08493,Mon Jan 24 01:06:16 2022,0.0,46.89999999999998
-81.03686,32.08489,Mon Jan 24 01:07:28 2022,0.0,-8.0
-81.03686,32.08487,Mon Jan 24 01:08:38 2022,0.0,-5.899999999999977
-81.03684,32.08489,Mon Jan 24 01:09:47 2022,0.0,-41.80000000000001
-81.03687,32.08488,Mon Jan 24 01:10:56 2022,0.0,-2.5
-81.03686,32.0849,Mon Jan 24 01:12:08 2022,0.0,21.30000000000001
-81.03684,32.08489,Mon Jan 24 01:13:18 2022,0.0,-90.1
-81.03684,32.08488,Mon Jan 24 01:14:28 2022,0.0,19.600000000000023
-81.03684,32.08487,Mon Jan 24 01:15:38 2022,0.0,-4.0
-81.03684,32.08486,Mon Jan 24 01:16:47 2022,0.0,21.30000000000001
-81.03684,32.08488,Mon Jan 24 01:17:57 2022,0.0,27.100000000000023
-81.03684,32.08488,Mon Jan 24 01:19:08 2022,0.0,-65.6
-81.03684,32.08489,Mon Jan 24 01:20:16 2022,0.0,-114.69999999999999
-81.03685,32.0849,Mon Jan 24 01:21:27 2022,0.0,-18.30000000000001
-81.03685,32.08489,Mon Jan 24 01:22:38 2022,0.0,18.0
-81.03683,32.08489,Mon Jan 24 01:23:48 2022,0.0,54.89999999999998
-81.03683,32.0849,Mon Jan 24 01:24:58 2022,0.0,18.100000000000023
-81.03683,32.08489,Mon Jan 24 01:26:16 2022,0.0,-25.099999999999994
-81.03683,32.08489,Mon Jan 24 01:27:28 2022,0.0,33.10000000000002
-81.03685,32.08489,Mon Jan 24 01:28:36 2022,0.0,29.30000000000001
-81.03684,32.0849,Mon Jan 24 01:29:47 2022,0.0,32.0
-81.03685,32.0849,Mon Jan 24 01:30:57 2022,0.0,-31.099999999999994
-81.03685,32.0849,Mon Jan 24 01:32:18 2022,0.0,-68.0
-81.03684,32.0849,Mon Jan 24 01:33:28 2022,0.0,-33.19999999999999
-81.03685,32.0849,Mon Jan 24 01:34:37 2022,0.0,-2.3999999999999773
-81.03684,32.08489,Mon Jan 24 01:35:48 2022,0.0,41.60000000000002
-81.03685,32.08488,Mon Jan 24 01:36:57 2022,0.0,61.19999999999999
-81.03684,32.0849,Mon Jan 24 01:38:07 2022,0.0,36.19999999999999
-81.03684,32.0849,Mon Jan 24 01:39:18 2022,0.0,-58.900000000000006
-81.03683,32.08489,Mon Jan 24 01:40:27 2022,0.0,-24.5
-81.03683,32.0849,Mon Jan 24 01:41:38 2022,0.0,116.0
-81.03683,32.08489,Mon Jan 24 01:42:48 2022,0.0,36.30000000000001
-81.03682,32.08489,Mon Jan 24 01:43:58 2022,0.0,-51.5
-81.03683,32.08489,Mon Jan 24 01:45:08 2022,0.0,7.899999999999977
