longitude,latitude,time,SOG,Angle Difference
-90.02372,29.97331,Tue Aug 17 00:00:13 2021,0.2,-113.2
-90.02365,29.97331,Tue Aug 17 00:01:24 2021,0.1,-104.2
-90.02363,29.97329,Tue Aug 17 00:02:25 2021,0.0,-107.2
-90.02362,29.97329,Tue Aug 17 00:03:33 2021,0.1,-106.2
-90.02363,29.97329,Tue Aug 17 00:04:45 2021,0.0,-105.2
-90.02364,29.9733,Tue Aug 17 00:05:55 2021,0.0,-106.2
-90.02365,29.9733,Tue Aug 17 00:07:04 2021,0.0,-104.2
-90.02367,29.97329,Tue Aug 17 00:08:05 2021,0.0,-104.2
-90.02367,29.97331,Tue Aug 17 00:09:13 2021,0.0,-103.2
-90.02368,29.97331,Tue Aug 17 00:10:24 2021,0.0,-101.2
-90.0237,29.97331,Tue Aug 17 00:11:33 2021,0.1,-100.2
-90.02372,29.97332,Tue Aug 17 00:12:34 2021,0.0,-98.2
-90.02374,29.9733,Tue Aug 17 00:13:35 2021,0.0,-97.2
-90.02374,29.97331,Tue Aug 17 00:14:45 2021,0.0,-96.2
-90.02375,29.97331,Tue Aug 17 00:15:55 2021,0.0,-95.2
-90.02377,29.97331,Tue Aug 17 00:17:04 2021,0.0,-94.2
-90.02376,29.97331,Tue Aug 17 00:18:14 2021,0.0,-93.2
-90.02377,29.97332,Tue Aug 17 00:19:24 2021,0.0,-94.2
-90.02378,29.97331,Tue Aug 17 00:20:34 2021,0.0,-93.2
-90.02378,29.97331,Tue Aug 17 00:21:45 2021,0.0,-93.2
-90.02379,29.97331,Tue Aug 17 00:22:53 2021,0.0,-93.2
-90.02377,29.97331,Tue Aug 17 00:23:54 2021,0.0,-94.2
-90.02377,29.97331,Tue Aug 17 00:25:05 2021,0.0,-95.2
-90.02375,29.97331,Tue Aug 17 00:26:15 2021,0.0,-95.2
-90.02376,29.97331,Tue Aug 17 00:27:23 2021,0.0,-96.2
-90.02374,29.9733,Tue Aug 17 00:28:35 2021,0.0,-96.2
-90.02376,29.97332,Tue Aug 17 00:29:44 2021,0.1,-95.2
-90.0238,29.97331,Tue Aug 17 00:30:54 2021,0.2,-91.2
-90.02384,29.97333,Tue Aug 17 00:31:55 2021,0.2,-87.2
-90.02389,29.97331,Tue Aug 17 00:33:04 2021,0.0,-85.2
-90.02386,29.97336,Tue Aug 17 00:34:15 2021,0.3,-178.4
-90.02385,29.97347,Tue Aug 17 00:35:25 2021,0.6,178.5
-90.02386,29.97349,Tue Aug 17 00:36:35 2021,0.4,37.80000000000001
-90.02386,29.97353,Tue Aug 17 00:37:37 2021,0.3,-119.4
-90.02388,29.97351,Tue Aug 17 00:38:45 2021,0.3,43.5
-90.02397,29.97339,Tue Aug 17 00:39:55 2021,0.9,-1.1999999999999886
-90.02417,29.97281,Tue Aug 17 00:41:04 2021,2.9,0.0
-90.02459,29.97165,Tue Aug 17 00:42:14 2021,3.9,2.1999999999999886
-90.02509,29.97048,Tue Aug 17 00:43:25 2021,3.7,1.5
-90.02555,29.96943,Tue Aug 17 00:44:34 2021,3.6,1.4000000000000057
-90.02591,29.96855,Tue Aug 17 00:45:44 2021,2.2,3.6999999999999886
-90.0261,29.96808,Tue Aug 17 00:46:45 2021,1.5,5.800000000000011
-90.02623,29.96768,Tue Aug 17 00:47:54 2021,1.1,-1.9000000000000057
-90.02633,29.96736,Tue Aug 17 00:49:04 2021,1.0,-4.599999999999994
-90.02646,29.96703,Tue Aug 17 00:50:14 2021,1.3,4.900000000000006
-90.02657,29.96675,Tue Aug 17 00:51:25 2021,1.1,-0.4000000000000057
-90.02671,29.96636,Tue Aug 17 00:52:34 2021,1.3,0.5999999999999943
-90.02685,29.96591,Tue Aug 17 00:53:44 2021,1.3,0.9000000000000057
-90.02696,29.96562,Tue Aug 17 00:54:54 2021,0.7,2.3000000000000114
-90.02703,29.96542,Tue Aug 17 00:56:04 2021,0.3,-0.5999999999999943
-90.02703,29.96537,Tue Aug 17 00:57:14 2021,0.0,6.300000000000011
-90.02704,29.96539,Tue Aug 17 00:58:15 2021,0.0,6.300000000000011
-90.02705,29.9654,Tue Aug 17 00:59:24 2021,0.0,6.300000000000011
-90.02705,29.96537,Tue Aug 17 01:00:15 2021,0.0,6.300000000000011
-90.02704,29.96538,Tue Aug 17 01:01:24 2021,0.0,6.300000000000011
-90.02704,29.96539,Tue Aug 17 01:02:34 2021,0.0,6.300000000000011
-90.02703,29.9654,Tue Aug 17 01:03:44 2021,0.1,6.300000000000011
-90.02703,29.96539,Tue Aug 17 01:04:45 2021,0.0,6.300000000000011
-90.02703,29.96539,Tue Aug 17 01:05:54 2021,0.0,7.300000000000011
-90.02703,29.96538,Tue Aug 17 01:07:05 2021,0.1,7.300000000000011
-90.02704,29.96538,Tue Aug 17 01:08:14 2021,0.1,6.300000000000011
-90.02703,29.96538,Tue Aug 17 01:09:15 2021,0.0,6.300000000000011
-90.02704,29.96537,Tue Aug 17 01:10:24 2021,0.0,6.300000000000011
-90.02703,29.96537,Tue Aug 17 01:11:35 2021,0.0,6.300000000000011
-90.02704,29.96539,Tue Aug 17 01:12:44 2021,0.0,6.300000000000011
-90.02703,29.96538,Tue Aug 17 01:13:53 2021,0.0,6.300000000000011
