longitude,latitude,time
-89.27297,28.69885,Thu Jan  7 00:00:51 2021
-89.27212,28.6983,Thu Jan  7 00:02:02 2021
-89.27135,28.6974,Thu Jan  7 00:03:11 2021
-89.27063,28.69592,Thu Jan  7 00:04:21 2021
-89.26962,28.69407,Thu Jan  7 00:05:31 2021
-89.2679,28.692,Thu Jan  7 00:06:40 2021
-89.266,28.6896,Thu Jan  7 00:07:51 2021
-89.26412,28.68697,Thu Jan  7 00:09:00 2021
-89.26218,28.68418,Thu Jan  7 00:10:10 2021
-89.2604,28.68155,Thu Jan  7 00:11:11 2021
-89.25827,28.67845,Thu Jan  7 00:12:21 2021
-89.2562,28.67548,Thu Jan  7 00:13:30 2021
-89.25298,28.67078,Thu Jan  7 00:15:11 2021
-89.25088,28.66775,Thu Jan  7 00:16:20 2021
-89.249,28.66505,Thu Jan  7 00:17:30 2021
-89.2473,28.6626,Thu Jan  7 00:18:42 2021
-89.24578,28.66035,Thu Jan  7 00:19:52 2021
-89.24442,28.65837,Thu Jan  7 00:21:02 2021
-89.24323,28.65658,Thu Jan  7 00:22:10 2021
-89.24215,28.65495,Thu Jan  7 00:23:20 2021
-89.24128,28.65355,Thu Jan  7 00:24:31 2021
-89.24068,28.65248,Thu Jan  7 00:25:32 2021
-89.24003,28.65127,Thu Jan  7 00:26:51 2021
-89.23952,28.65025,Thu Jan  7 00:28:10 2021
-89.23912,28.64948,Thu Jan  7 00:29:20 2021
-89.23878,28.64878,Thu Jan  7 00:30:32 2021
-89.23853,28.6482,Thu Jan  7 00:31:41 2021
-89.23835,28.6477,Thu Jan  7 00:32:51 2021
-89.23822,28.64725,Thu Jan  7 00:34:01 2021
-89.23818,28.64687,Thu Jan  7 00:35:10 2021
-89.2382,28.64655,Thu Jan  7 00:36:20 2021
-89.23828,28.64625,Thu Jan  7 00:37:31 2021
-89.2384,28.64605,Thu Jan  7 00:38:40 2021
-89.23858,28.64587,Thu Jan  7 00:39:51 2021
-89.23887,28.6457,Thu Jan  7 00:41:10 2021
-89.23915,28.64558,Thu Jan  7 00:42:21 2021
-89.23957,28.64552,Thu Jan  7 00:43:51 2021
-89.2399,28.64547,Thu Jan  7 00:44:52 2021
-89.24033,28.64543,Thu Jan  7 00:46:01 2021
-89.24083,28.64542,Thu Jan  7 00:47:11 2021
-89.24137,28.64543,Thu Jan  7 00:48:21 2021
-89.24203,28.64543,Thu Jan  7 00:49:40 2021
-89.2427,28.64545,Thu Jan  7 00:50:52 2021
-89.24338,28.6455,Thu Jan  7 00:52:01 2021
-89.24408,28.64558,Thu Jan  7 00:53:11 2021
-89.24472,28.64565,Thu Jan  7 00:54:22 2021
-89.2454,28.64573,Thu Jan  7 00:55:32 2021
-89.24617,28.64585,Thu Jan  7 00:56:51 2021
-89.24682,28.64595,Thu Jan  7 00:58:01 2021
-89.24748,28.64607,Thu Jan  7 00:59:11 2021
