longitude,latitude,time
-89.98408,29.70689,Wed Jan  5 00:07:15 2022
-89.98412,29.70689,Wed Jan  5 00:10:14 2022
-89.98414,29.70687,Wed Jan  5 00:13:14 2022
-89.98416,29.70691,Wed Jan  5 00:16:15 2022
-89.98413,29.70694,Wed Jan  5 00:19:14 2022
-89.98411,29.70692,Wed Jan  5 00:22:14 2022
-89.98411,29.70692,Wed Jan  5 00:25:15 2022
-89.98414,29.7069,Wed Jan  5 00:28:13 2022
-89.98413,29.70693,Wed Jan  5 00:31:13 2022
-89.98413,29.70687,Wed Jan  5 00:40:15 2022
-89.98412,29.70692,Wed Jan  5 00:34:12 2022
-89.98414,29.70689,Wed Jan  5 00:37:14 2022
-89.98412,29.70689,Wed Jan  5 00:43:13 2022
-89.98413,29.70694,Wed Jan  5 00:46:11 2022
-89.98411,29.70695,Wed Jan  5 00:52:15 2022
-89.98407,29.70689,Wed Jan  5 00:58:14 2022
-89.98408,29.7069,Wed Jan  5 01:04:12 2022
-89.98407,29.70694,Wed Jan  5 00:55:11 2022
-89.98415,29.70693,Wed Jan  5 01:10:13 2022
-89.98413,29.70693,Wed Jan  5 01:07:15 2022
-89.98416,29.70692,Wed Jan  5 01:13:12 2022
-89.98416,29.7069,Wed Jan  5 01:16:14 2022
-89.98416,29.7069,Wed Jan  5 01:22:13 2022
-89.98416,29.70691,Wed Jan  5 01:25:16 2022
-89.9842,29.70691,Wed Jan  5 01:34:17 2022
-89.98416,29.70693,Wed Jan  5 01:28:15 2022
-89.98415,29.70686,Wed Jan  5 01:40:12 2022
-89.98419,29.70694,Wed Jan  5 01:31:11 2022
-89.98417,29.70685,Wed Jan  5 01:37:14 2022
-89.98416,29.70689,Wed Jan  5 01:43:11 2022
-89.98416,29.70692,Wed Jan  5 01:49:16 2022
-89.98418,29.70686,Wed Jan  5 01:52:15 2022
-89.98415,29.70692,Wed Jan  5 01:46:16 2022
-89.98421,29.70687,Wed Jan  5 01:55:12 2022
-89.98417,29.70686,Wed Jan  5 01:58:11 2022
-89.9841,29.70696,Wed Jan  5 00:49:14 2022
-89.98419,29.70689,Wed Jan  5 02:07:15 2022
-89.98417,29.70686,Wed Jan  5 02:10:16 2022
-89.98419,29.70688,Wed Jan  5 02:13:16 2022
-89.98416,29.70689,Wed Jan  5 02:22:13 2022
-89.98412,29.70689,Wed Jan  5 02:28:14 2022
-89.98415,29.70689,Wed Jan  5 02:25:16 2022
-89.98413,29.7069,Wed Jan  5 02:31:16 2022
-89.98411,29.70691,Wed Jan  5 02:37:16 2022
-89.98407,29.70688,Wed Jan  5 02:43:17 2022
-89.98409,29.70692,Wed Jan  5 02:40:13 2022
-89.98405,29.7069,Wed Jan  5 02:49:15 2022
-89.98404,29.70693,Wed Jan  5 02:52:14 2022
-89.98399,29.70693,Wed Jan  5 02:58:12 2022
-89.984,29.70694,Wed Jan  5 03:01:12 2022
-89.98415,29.7069,Wed Jan  5 01:19:15 2022
-89.98401,29.70694,Wed Jan  5 03:04:16 2022
-89.98401,29.70691,Wed Jan  5 03:10:12 2022
-89.98401,29.70691,Wed Jan  5 03:13:14 2022
-89.98404,29.70695,Wed Jan  5 03:22:16 2022
-89.98403,29.70689,Wed Jan  5 03:16:14 2022
-89.98401,29.70692,Wed Jan  5 03:25:16 2022
-89.98406,29.70691,Wed Jan  5 03:37:14 2022
-89.98403,29.70694,Wed Jan  5 03:31:12 2022
-89.98405,29.70693,Wed Jan  5 03:34:15 2022
-89.98409,29.70691,Wed Jan  5 03:43:14 2022
-89.98403,29.70693,Wed Jan  5 03:28:14 2022
-89.98406,29.70688,Wed Jan  5 03:40:14 2022
-89.98411,29.70689,Wed Jan  5 03:55:12 2022
-89.98409,29.70692,Wed Jan  5 03:49:12 2022
-89.98409,29.70693,Wed Jan  5 03:46:17 2022
-89.9841,29.70688,Wed Jan  5 04:04:14 2022
-89.98412,29.70689,Wed Jan  5 03:58:12 2022
-89.98413,29.70689,Wed Jan  5 04:10:12 2022
-89.98407,29.70687,Wed Jan  5 04:22:12 2022
-89.98412,29.70693,Wed Jan  5 04:16:12 2022
-89.98412,29.70689,Wed Jan  5 04:07:16 2022
-89.98407,29.70689,Wed Jan  5 04:19:12 2022
-89.98408,29.70689,Wed Jan  5 04:25:15 2022
-89.98407,29.70689,Wed Jan  5 04:28:16 2022
-89.98408,29.70689,Wed Jan  5 04:31:16 2022
-89.9841,29.70686,Wed Jan  5 04:34:15 2022
-89.98408,29.70689,Wed Jan  5 04:40:14 2022
-89.98409,29.70688,Wed Jan  5 04:37:14 2022
-89.98404,29.70692,Wed Jan  5 04:49:18 2022
-89.98412,29.70689,Wed Jan  5 05:01:12 2022
-89.98405,29.70689,Wed Jan  5 04:52:17 2022
-89.98409,29.70689,Wed Jan  5 04:55:16 2022
-89.98407,29.70685,Wed Jan  5 04:58:12 2022
-89.98414,29.70691,Wed Jan  5 05:07:18 2022
-89.98418,29.7069,Wed Jan  5 05:19:17 2022
-89.98414,29.7069,Wed Jan  5 05:04:14 2022
-89.98414,29.70689,Wed Jan  5 05:13:18 2022
-89.98417,29.70687,Wed Jan  5 05:22:18 2022
-89.98418,29.70689,Wed Jan  5 05:31:18 2022
-89.98415,29.70688,Wed Jan  5 05:28:16 2022
-89.98415,29.70688,Wed Jan  5 05:16:12 2022
-89.98419,29.70692,Wed Jan  5 05:34:12 2022
-89.9842,29.7069,Wed Jan  5 05:25:18 2022
-89.98409,29.70689,Wed Jan  5 05:46:17 2022
-89.98411,29.70689,Wed Jan  5 05:49:17 2022
-89.9842,29.7069,Wed Jan  5 02:16:14 2022
-89.98409,29.70695,Wed Jan  5 05:52:17 2022
-89.98418,29.70691,Wed Jan  5 02:19:12 2022
-89.98415,29.7069,Wed Jan  5 05:58:18 2022
-89.98416,29.70688,Wed Jan  5 06:07:16 2022
-89.98413,29.70692,Wed Jan  5 05:55:12 2022
-89.98417,29.70688,Wed Jan  5 06:04:18 2022
-89.98421,29.70688,Wed Jan  5 06:13:14 2022
