longitude,latitude,time,SOG,Angle Difference
-91.00226,30.1604,Mon Jan 14 00:00:07 2019,8.2,-12.0
-91.00098,30.15798,Mon Jan 14 00:01:16 2019,8.1,-19.0
-91.00004,30.15546,Mon Jan 14 00:02:27 2019,8.1,-19.0
-90.99935,30.15295,Mon Jan 14 00:03:36 2019,8.1,-22.0
-90.99871,30.1503,Mon Jan 14 00:04:47 2019,8.5,-34.0
-90.99843,30.14747,Mon Jan 14 00:05:56 2019,8.8,-44.0
-90.999,30.14478,Mon Jan 14 00:07:08 2019,8.0,-37.0
-91.00126,30.14125,Mon Jan 14 00:08:56 2019,8.2,-28.0
-91.00331,30.13922,Mon Jan 14 00:10:06 2019,8.5,-20.0
-91.00643,30.13681,Mon Jan 14 00:11:37 2019,8.6,-11.0
-91.0096,30.1347,Mon Jan 14 00:13:06 2019,8.1,-9.0
-91.01248,30.13301,Mon Jan 14 00:14:28 2019,7.8,-3.0
-91.01486,30.13167,Mon Jan 14 00:15:37 2019,7.6,-4.0
-91.01922,30.12942,Mon Jan 14 00:17:47 2019,6.9,-4.0
-91.02136,30.12839,Mon Jan 14 00:18:57 2019,6.4,-2.0
-91.0242,30.12676,Mon Jan 14 00:20:47 2019,5.2,-7.300000000000011
-91.02639,30.12533,Mon Jan 14 00:22:47 2019,3.6,-6.699999999999989
-91.02723,30.1246,Mon Jan 14 00:23:57 2019,3.0,-2.8000000000000114
-91.028,30.1239,Mon Jan 14 00:25:08 2019,2.9,-1.0
-91.02913,30.12232,Mon Jan 14 00:27:37 2019,2.3,4.0
-91.03038,30.12114,Mon Jan 14 00:30:16 2019,2.9,61.0
-91.03116,30.1184,Mon Jan 14 00:32:37 2019,5.9,49.80000000000001
-91.02989,30.1169,Mon Jan 14 00:33:47 2019,5.8,28.0
-91.02661,30.11591,Mon Jan 14 00:35:37 2019,6.1,1.0
-91.02396,30.1156,Mon Jan 14 00:36:56 2019,6.5,-1.0
-91.0191,30.11499,Mon Jan 14 00:39:16 2019,6.8,-0.5
-91.01683,30.11474,Mon Jan 14 00:40:17 2019,7.0,0.09999999999999432
-91.01161,30.11435,Mon Jan 14 00:42:37 2019,7.1,-3.0
-91.00898,30.11419,Mon Jan 14 00:43:46 2019,7.1,-2.0
-91.00214,30.11383,Mon Jan 14 00:46:46 2019,7.2,-2.4000000000000057
-90.99909,30.11368,Mon Jan 14 00:48:06 2019,7.2,-2.4000000000000057
