longitude,latitude,time
-93.77855,29.61171,Thu Jan  3 00:02:10 2019
-93.77849,29.6115,Thu Jan  3 00:05:10 2019
-93.77865,29.61171,Thu Jan  3 00:08:11 2019
-93.77887,29.61197,Thu Jan  3 00:11:10 2019
-93.77861,29.61181,Thu Jan  3 00:14:13 2019
-93.77848,29.61156,Thu Jan  3 00:17:11 2019
-93.77859,29.61156,Thu Jan  3 00:20:12 2019
-93.77879,29.61187,Thu Jan  3 00:23:06 2019
-93.77872,29.61188,Thu Jan  3 00:26:12 2019
-93.77854,29.61168,Thu Jan  3 00:29:11 2019
-93.77857,29.61157,Thu Jan  3 00:32:06 2019
-93.77871,29.61175,Thu Jan  3 00:35:10 2019
-93.77863,29.61174,Thu Jan  3 00:38:09 2019
-93.77857,29.61156,Thu Jan  3 00:44:11 2019
-93.77874,29.61181,Thu Jan  3 00:47:10 2019
-93.77869,29.61184,Thu Jan  3 00:50:09 2019
-93.77845,29.61163,Thu Jan  3 00:53:10 2019
-93.77844,29.61146,Thu Jan  3 00:56:11 2019
-93.77863,29.61165,Thu Jan  3 00:59:10 2019
-93.77871,29.61179,Thu Jan  3 01:02:10 2019
-93.77864,29.61174,Thu Jan  3 01:05:09 2019
-93.77857,29.61161,Thu Jan  3 01:08:11 2019
-93.77863,29.61164,Thu Jan  3 01:11:11 2019
-93.77865,29.6117,Thu Jan  3 01:14:10 2019
-93.77855,29.61163,Thu Jan  3 01:17:07 2019
-93.77852,29.61155,Thu Jan  3 01:20:07 2019
-93.77857,29.61156,Thu Jan  3 01:23:11 2019
-93.77857,29.61162,Thu Jan  3 01:26:09 2019
-93.77841,29.6115,Thu Jan  3 01:29:13 2019
-93.77851,29.61148,Thu Jan  3 01:32:11 2019
-93.77871,29.61171,Thu Jan  3 01:35:13 2019
-93.7786,29.61168,Thu Jan  3 01:38:10 2019
-93.77853,29.61157,Thu Jan  3 01:41:13 2019
-93.77853,29.61157,Thu Jan  3 01:47:07 2019
-93.77831,29.61145,Thu Jan  3 01:50:11 2019
-93.77793,29.61118,Thu Jan  3 01:53:12 2019
-93.7779,29.61107,Thu Jan  3 01:56:11 2019
-93.77812,29.6112,Thu Jan  3 01:59:12 2019
-93.77823,29.6113,Thu Jan  3 02:02:09 2019
-93.77802,29.61122,Thu Jan  3 02:05:12 2019
-93.77801,29.61112,Thu Jan  3 02:08:10 2019
-93.77829,29.61132,Thu Jan  3 02:11:11 2019
-93.77818,29.61131,Thu Jan  3 02:14:10 2019
-93.77805,29.61118,Thu Jan  3 02:17:12 2019
-93.77813,29.61122,Thu Jan  3 02:20:07 2019
-93.77826,29.61132,Thu Jan  3 02:23:14 2019
-93.77823,29.61131,Thu Jan  3 02:26:12 2019
-93.77836,29.61138,Thu Jan  3 02:29:16 2019
-93.77845,29.61148,Thu Jan  3 02:32:12 2019
-93.77823,29.61134,Thu Jan  3 02:35:16 2019
-93.77812,29.61121,Thu Jan  3 02:38:14 2019
-93.77816,29.61121,Thu Jan  3 02:41:16 2019
-93.77832,29.61136,Thu Jan  3 02:47:07 2019
-93.77842,29.61145,Thu Jan  3 02:50:12 2019
-93.77823,29.6113,Thu Jan  3 02:56:10 2019
-93.77812,29.6112,Thu Jan  3 02:59:12 2019
-93.77813,29.6112,Thu Jan  3 03:02:07 2019
-93.77818,29.61123,Thu Jan  3 03:05:12 2019
-93.77827,29.61131,Thu Jan  3 03:08:07 2019
-93.77831,29.61134,Thu Jan  3 03:11:12 2019
-93.77839,29.6114,Thu Jan  3 03:14:10 2019
-93.77848,29.61151,Thu Jan  3 03:17:13 2019
-93.77847,29.61148,Thu Jan  3 03:20:07 2019
-93.77835,29.61136,Thu Jan  3 03:23:14 2019
-93.77835,29.61134,Thu Jan  3 03:26:12 2019
-93.77844,29.61146,Thu Jan  3 03:29:13 2019
-93.77835,29.61141,Thu Jan  3 03:32:12 2019
-93.77833,29.61134,Thu Jan  3 03:35:14 2019
-93.77847,29.61146,Thu Jan  3 03:38:10 2019
-93.77847,29.61151,Thu Jan  3 03:41:14 2019
-93.77834,29.61137,Thu Jan  3 03:44:12 2019
-93.77836,29.61138,Thu Jan  3 03:47:14 2019
-93.77844,29.61154,Thu Jan  3 03:53:14 2019
-93.77832,29.61136,Thu Jan  3 03:56:07 2019
-93.77851,29.61154,Thu Jan  3 03:59:14 2019
-93.77871,29.61172,Thu Jan  3 04:02:11 2019
-93.77842,29.61152,Thu Jan  3 04:05:14 2019
-93.77843,29.61141,Thu Jan  3 04:08:12 2019
-93.77863,29.61163,Thu Jan  3 04:11:13 2019
-93.77861,29.6117,Thu Jan  3 04:14:13 2019
-93.77838,29.61143,Thu Jan  3 04:17:07 2019
-93.77847,29.61145,Thu Jan  3 04:20:12 2019
-93.77871,29.61171,Thu Jan  3 04:23:12 2019
-93.77848,29.61159,Thu Jan  3 04:26:11 2019
-93.77848,29.61145,Thu Jan  3 04:29:11 2019
-93.77873,29.61183,Thu Jan  3 04:32:12 2019
-93.7788,29.61192,Thu Jan  3 04:35:10 2019
-93.7785,29.61164,Thu Jan  3 04:38:11 2019
-93.77854,29.61151,Thu Jan  3 04:41:08 2019
-93.77874,29.61186,Thu Jan  3 04:44:10 2019
-93.77886,29.61199,Thu Jan  3 04:47:09 2019
-93.77859,29.61174,Thu Jan  3 04:50:10 2019
-93.77884,29.61196,Thu Jan  3 04:56:11 2019
-93.77892,29.6121,Thu Jan  3 04:59:10 2019
-93.77873,29.61186,Thu Jan  3 05:02:11 2019
-93.77874,29.61174,Thu Jan  3 05:05:12 2019
-93.77889,29.61203,Thu Jan  3 05:08:10 2019
-93.77885,29.61205,Thu Jan  3 05:11:08 2019
-93.7786,29.61168,Thu Jan  3 05:14:11 2019
-93.77866,29.61167,Thu Jan  3 05:17:11 2019
-93.77887,29.61198,Thu Jan  3 05:20:11 2019
-93.77873,29.61188,Thu Jan  3 05:23:10 2019
-93.77863,29.61162,Thu Jan  3 05:26:11 2019
-93.77872,29.61177,Thu Jan  3 05:29:08 2019
-93.77887,29.61198,Thu Jan  3 05:32:12 2019
-93.77854,29.61168,Thu Jan  3 05:35:13 2019
-93.77854,29.61149,Thu Jan  3 05:38:08 2019
-93.77877,29.61183,Thu Jan  3 05:41:11 2019
-93.77889,29.612,Thu Jan  3 05:44:10 2019
-93.77871,29.61182,Thu Jan  3 05:47:12 2019
-93.77868,29.61167,Thu Jan  3 05:50:12 2019
-93.7788,29.61183,Thu Jan  3 05:53:10 2019
-93.77879,29.61186,Thu Jan  3 05:56:10 2019
-93.77869,29.61175,Thu Jan  3 05:59:08 2019
-93.77868,29.61168,Thu Jan  3 06:02:12 2019
-93.77879,29.6118,Thu Jan  3 06:05:08 2019
-93.77882,29.61192,Thu Jan  3 06:08:14 2019
-93.77872,29.61177,Thu Jan  3 06:11:12 2019
-93.77875,29.61178,Thu Jan  3 06:14:13 2019
-93.77893,29.61207,Thu Jan  3 06:17:11 2019
-93.7788,29.61198,Thu Jan  3 06:20:13 2019
-93.77863,29.61165,Thu Jan  3 06:23:08 2019
-93.77876,29.61179,Thu Jan  3 06:26:13 2019
-93.77887,29.61198,Thu Jan  3 06:29:13 2019
-93.77872,29.61183,Thu Jan  3 06:32:08 2019
-93.77868,29.61164,Thu Jan  3 06:35:12 2019
-93.77882,29.61186,Thu Jan  3 06:38:12 2019
-93.77879,29.61195,Thu Jan  3 06:41:14 2019
-93.77864,29.61162,Thu Jan  3 06:47:14 2019
-93.77884,29.61203,Thu Jan  3 06:50:12 2019
-93.77891,29.61209,Thu Jan  3 06:53:15 2019
-93.77866,29.61183,Thu Jan  3 06:56:13 2019
-93.77872,29.61169,Thu Jan  3 06:59:17 2019
-93.7788,29.61184,Thu Jan  3 07:02:12 2019
-93.77889,29.61198,Thu Jan  3 07:05:08 2019
-93.77859,29.61173,Thu Jan  3 07:08:12 2019
-93.77854,29.61152,Thu Jan  3 07:11:14 2019
-93.77867,29.61169,Thu Jan  3 07:14:11 2019
-93.77871,29.61178,Thu Jan  3 07:17:15 2019
-93.77854,29.61165,Thu Jan  3 07:20:08 2019
-93.77849,29.6115,Thu Jan  3 07:23:15 2019
-93.77863,29.61164,Thu Jan  3 07:26:13 2019
-93.77881,29.61184,Thu Jan  3 07:29:13 2019
-93.77861,29.61174,Thu Jan  3 07:32:14 2019
-93.77845,29.61148,Thu Jan  3 07:35:12 2019
-93.77851,29.6115,Thu Jan  3 07:38:14 2019
-93.77872,29.61174,Thu Jan  3 07:41:13 2019
-93.77861,29.61177,Thu Jan  3 07:44:14 2019
-93.77845,29.61142,Thu Jan  3 07:50:15 2019
-93.7787,29.61177,Thu Jan  3 07:53:13 2019
-93.77888,29.61196,Thu Jan  3 07:56:16 2019
-93.77864,29.61176,Thu Jan  3 07:59:13 2019
-93.77861,29.61156,Thu Jan  3 08:02:08 2019
-93.77872,29.61189,Thu Jan  3 08:05:13 2019
-93.77898,29.61212,Thu Jan  3 08:08:14 2019
-93.77883,29.61202,Thu Jan  3 08:11:12 2019
-93.77876,29.61178,Thu Jan  3 08:14:13 2019
-93.77885,29.61209,Thu Jan  3 08:17:12 2019
