longitude,latitude,time,SOG,Angle Difference
-89.54909,40.81116,Tue Jan  8 00:53:59 2019,6.5,1.0
-89.55142,40.80796,Tue Jan  8 00:55:59 2019,6.6,-2.1999999999999886
-89.55546,40.80195,Tue Jan  8 00:59:39 2019,6.4,-10.300000000000011
-89.55797,40.79892,Tue Jan  8 01:01:39 2019,6.6,-2.0
-89.56102,40.79386,Tue Jan  8 01:04:39 2019,6.7,0.5
-89.56182,40.78966,Tue Jan  8 01:06:58 2019,6.5,7.800000000000011
-89.55186,40.74611,Tue Jan  8 01:30:40 2019,6.9,2.4000000000000057
-89.5511,40.74197,Tue Jan  8 01:32:49 2019,7.1,-0.5999999999999943
-89.55076,40.73965,Tue Jan  8 01:33:59 2019,7.2,-0.09999999999999432
-89.55017,40.73288,Tue Jan  8 01:37:18 2019,7.6,3.0999999999999943
-89.54966,40.72934,Tue Jan  8 01:38:59 2019,7.7,12.0
-89.54886,40.72731,Tue Jan  8 01:40:00 2019,7.5,0.8000000000000114
-89.54769,40.72512,Tue Jan  8 01:41:08 2019,7.5,-12.900000000000006
-89.54699,40.72273,Tue Jan  8 01:42:19 2019,7.4,-12.099999999999994
-89.54717,40.72007,Tue Jan  8 01:43:40 2019,7.2,8.800000000000011
-89.54752,40.71778,Tue Jan  8 01:44:48 2019,7.1,-3.9000000000000057
-89.5481,40.71545,Tue Jan  8 01:46:00 2019,7.3,-5.900000000000006
-89.54906,40.71328,Tue Jan  8 01:47:09 2019,7.3,-4.0
-89.55038,40.71115,Tue Jan  8 01:48:19 2019,7.2,-2.5
-89.55189,40.70906,Tue Jan  8 01:49:30 2019,7.3,-0.30000000000001137
-89.55343,40.70705,Tue Jan  8 01:50:40 2019,7.2,-3.3000000000000114
-89.55505,40.70512,Tue Jan  8 01:51:49 2019,7.1,-9.599999999999994
-89.55691,40.70334,Tue Jan  8 01:52:59 2019,7.0,-5.800000000000011
-89.55891,40.70171,Tue Jan  8 01:54:08 2019,7.0,-6.699999999999989
-89.5612,40.70026,Tue Jan  8 01:55:19 2019,6.9,-4.099999999999994
-89.56361,40.69898,Tue Jan  8 01:56:29 2019,6.9,-4.099999999999994
-89.56623,40.69784,Tue Jan  8 01:57:40 2019,7.0,-0.19999999999998863
-89.56879,40.69673,Tue Jan  8 01:58:49 2019,7.0,2.0
-89.57138,40.69557,Tue Jan  8 01:59:59 2019,7.0,4.199999999999989
-89.57174,40.6954,Tue Jan  8 02:00:09 2019,7.0,1.4000000000000057
-89.57421,40.6942,Tue Jan  8 02:01:18 2019,7.0,3.4000000000000057
-89.57637,40.69304,Tue Jan  8 02:02:20 2019,7.0,2.6999999999999886
-89.57876,40.69168,Tue Jan  8 02:03:29 2019,7.2,1.9000000000000057
-89.5812,40.69023,Tue Jan  8 02:04:38 2019,7.3,-2.6999999999999886
-89.5837,40.68879,Tue Jan  8 02:05:50 2019,7.3,-8.599999999999994
-89.58638,40.68756,Tue Jan  8 02:07:00 2019,7.4,-2.5
-89.58903,40.68634,Tue Jan  8 02:08:09 2019,7.4,-2.0999999999999943
-89.59153,40.68524,Tue Jan  8 02:09:13 2019,7.3,17.80000000000001
-89.59358,40.68379,Tue Jan  8 02:10:19 2019,7.0,-4.300000000000011
-89.5957,40.682,Tue Jan  8 02:11:30 2019,7.7,0.5
-89.59788,40.68018,Tue Jan  8 02:12:38 2019,7.9,-0.6999999999999886
-89.60018,40.67827,Tue Jan  8 02:13:49 2019,7.7,2.0
-89.60231,40.67642,Tue Jan  8 02:14:59 2019,7.5,1.1999999999999886
-89.60433,40.67456,Tue Jan  8 02:16:09 2019,7.3,0.5
-89.60621,40.6728,Tue Jan  8 02:17:18 2019,7.2,-0.5999999999999943
-89.60818,40.6709,Tue Jan  8 02:18:30 2019,7.2,-1.4000000000000057
-89.61007,40.66916,Tue Jan  8 02:19:38 2019,7.1,-0.30000000000001137
